best_params,model_name,target,rmse_train,rmse_test,mae_test,r2_test,overfit_ratio,split_seed,track,feature_set
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': None}",ERT,T_C,0.0,89.01890416100208,64.63513219188219,0.7965255655540965,0.0,43,opx_liq,pwlr
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_depth': None}",ERT,P_kbar,1.1984313190166322,7.201826651211292,4.25677828943333,0.5088028790881963,0.1664065767002411,43,opx_liq,pwlr
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",XGB,T_C,10.538749841624412,98.21087772254053,73.35469579051501,0.7523350508007026,0.1073073582683769,43,opx_liq,pwlr
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",XGB,P_kbar,1.2744596924605744,5.327880587670154,3.3190509918847693,0.7311689363352619,0.23920575386204124,43,opx_liq,pwlr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,T_C,26.96682330047929,88.78951162021858,67.8072680464686,0.7975728796935485,0.3037163152312979,43,opx_liq,pwlr
"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 500, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 0.0}",GB,P_kbar,1.6654111695078362,5.57450762730598,3.7083769661210138,0.7057045732735875,0.2987548463204252,43,opx_liq,pwlr
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.66, 'max_depth': 10}",RF,T_C,5.9695234047494985,68.47175188556707,54.736754945854926,0.9033868727541409,0.08718227941247979,44,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': None}",RF,P_kbar,1.0999740677737233,4.380885825030783,3.523213869930155,0.7346721948516552,0.2510848517185435,44,opx_liq,raw
"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.66, 'max_depth': 20}",ERT,T_C,17.03328355547519,71.73654530382349,55.739134882502235,0.8939540281120534,0.2374422058287679,44,opx_liq,raw
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",ERT,P_kbar,2.254113477785812,4.423376389706571,3.552998636615589,0.7295003633605807,0.5095911537239409,44,opx_liq,raw
