seed,model,target,track,feature_set,regime,n,rmse
57,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
58,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
58,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
58,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
58,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
59,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
59,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
59,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
59,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
60,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
60,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
60,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
60,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
61,ElasticNet,P_kbar,opx_liq,raw,deep_crustal_MASH,61,3.153246582437006
61,ElasticNet,P_kbar,opx_liq,raw,deeper_mantle,8,18.35958498176543
61,ElasticNet,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.559920233649886
61,ElasticNet,P_kbar,opx_liq,raw,shallow_crustal,47,2.6629062653698017
42,MLP,P_kbar,opx_liq,raw,deep_crustal_MASH,61,2.0789452576826175
42,MLP,P_kbar,opx_liq,raw,deeper_mantle,8,4.71503282719048
42,MLP,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.379807870130083
42,MLP,P_kbar,opx_liq,raw,shallow_crustal,47,2.9646551785365847
43,MLP,P_kbar,opx_liq,raw,deep_crustal_MASH,61,2.885614977714964
43,MLP,P_kbar,opx_liq,raw,deeper_mantle,8,10.574221013054611
43,MLP,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.279262463789164
43,MLP,P_kbar,opx_liq,raw,shallow_crustal,47,3.712236979792789
44,MLP,P_kbar,opx_liq,raw,deep_crustal_MASH,61,2.5334341767396933
44,MLP,P_kbar,opx_liq,raw,deeper_mantle,8,7.8233041551213915
44,MLP,P_kbar,opx_liq,raw,lithospheric_mantle,58,5.792817583231145
