track,target,feature_set,model_name,rmse_test_mean,rmse_test_std,r2_test_mean,r2_test_std,overfit_ratio_mean
opx_liq,T_C,raw,XGB,83.60773389340906,11.022256228229725,0.7319997817013661,0.10036656110782242,0.007966612328295047
opx_only,P_kbar,alr,ERT,11.300168782795511,3.1696950003740207,0.18911415883674404,0.28224599820433155,0.5025410377733652
opx_only,P_kbar,alr,GB,11.293439502439986,2.8095576356129373,0.18257275770207726,0.2800144977538358,0.46590010876839905
opx_only,P_kbar,alr,RF,11.57315069376397,3.076215123270861,0.15805517168172942,0.2362598253859661,0.4192655281179836
opx_only,P_kbar,alr,XGB,10.704628011022361,2.753973033952015,0.272717172596903,0.21831100099708625,0.5630754191451699
opx_only,P_kbar,pwlr,ERT,10.77840824669578,3.0345865431206214,0.26416555077101955,0.25827198211233365,0.4474322445280376
opx_only,P_kbar,pwlr,GB,11.151923362072576,2.885903781687435,0.19839538211374666,0.2927747361790905,0.4547366774900544
opx_only,P_kbar,pwlr,RF,10.660219225672913,2.948423218037583,0.27374850033497855,0.26055062787163175,0.3986969394277917
opx_only,P_kbar,pwlr,XGB,10.636428121938179,2.718158322053155,0.26989303846902696,0.25623138856375743,0.3388187308039957
opx_only,P_kbar,raw,ERT,11.797991767766414,2.86511402677961,0.11065206498074187,0.28456679146458536,0.42015656716551836
opx_only,P_kbar,raw,GB,11.532334768368253,2.774710821335244,0.14893088061205287,0.28006662993583403,0.5313209146924104
opx_only,P_kbar,raw,RF,12.044691028379223,2.941599155801478,0.08151501719899087,0.2580581857363332,0.392721451142822
opx_only,P_kbar,raw,XGB,11.225567934568561,2.971293882022047,0.21344703419752306,0.19640343858638254,0.4445714044502586
opx_only,T_C,alr,ERT,149.58139670662564,18.008769980184045,0.4272896916422619,0.14972538887580328,0.2540453369950445
opx_only,T_C,alr,GB,147.1185663027461,16.326927785588143,0.4506340576568874,0.11150271559243494,0.5686691601369875
opx_only,T_C,alr,RF,144.38319703617546,16.144874882386052,0.46825018610065383,0.12182623999010454,0.4577338976412193
opx_only,T_C,alr,XGB,144.94917909738078,16.1861732745102,0.4667428955693066,0.10827944524835195,0.3102495702977151
opx_only,T_C,pwlr,ERT,143.24543594192644,20.017665933423398,0.47540078569989686,0.143747447292832,0.31164421488447125
opx_only,T_C,pwlr,GB,141.28743930831266,19.637796915973244,0.48883810695980145,0.13998814450432903,0.4503110879939662
opx_only,T_C,pwlr,RF,139.04380382677826,17.448284974311726,0.5071489475366603,0.121147879470314,0.2878624490756285
opx_only,T_C,pwlr,XGB,140.6787952126331,18.28447278047833,0.49542885940236064,0.12498814970829741,0.41429631521024185
opx_only,T_C,raw,ERT,146.0210995981875,17.90625546699384,0.45533300943982297,0.13773238520993367,0.22217833563306497
opx_only,T_C,raw,GB,145.51525260570878,13.9265032719383,0.46164847799718595,0.10752588106952202,0.5559821203982379
opx_only,T_C,raw,RF,145.9637042960432,19.35744207339291,0.45784753002942286,0.12885371517092928,0.32955645545162604
opx_only,T_C,raw,XGB,143.97156161731547,15.998821472306464,0.47294167605033033,0.11306039895251573,0.433031389747473
