model,target,track,feature_set,test_rmse,test_r2,cv_rmse
ERT,P_kbar,cpx_only,pwlr,14.089170033836199,0.5009027012692662,17.752739410466326
XGB,P_kbar,cpx_only,pwlr,16.010078777842548,0.35553203228984875,16.02637190626311
GB,P_kbar,cpx_only,pwlr,15.6581509712797,0.38355355737510155,15.448183617099843
CatBoost,P_kbar,cpx_only,pwlr,15.794562768803079,0.37276596686403807,16.61457482116405
LightGBM,P_kbar,cpx_only,pwlr,15.323156318956222,0.40964823957805907,15.378073508476662
ElasticNet,P_kbar,cpx_only,pwlr,15.781491226139186,0.373803732054814,17.14336143172183
MLP,P_kbar,cpx_only,pwlr,14.171405374024587,0.495059459014903,17.9303014825315
RF,P_kbar,cpx_liq,raw,7.5155844311841316,0.6882648329805825,8.197013987302961
ERT,P_kbar,cpx_liq,raw,7.309607658223723,0.7051178966236884,7.84580756431868
XGB,P_kbar,cpx_liq,raw,7.627408221661685,0.6789192541983273,7.3010229020429565
GB,P_kbar,cpx_liq,raw,7.259173965437224,0.7091730219794226,7.537333627014167
CatBoost,P_kbar,cpx_liq,raw,7.803076148465326,0.6639592292868306,7.625420495005533
LightGBM,P_kbar,cpx_liq,raw,7.447061245735498,0.6939233967882406,7.438513736103222
ElasticNet,P_kbar,cpx_liq,raw,9.225202737028805,0.5303091279389349,9.178645460235998
MLP,P_kbar,cpx_liq,raw,7.417884145408285,0.6963170747905607,7.284877671836444
RF,P_kbar,cpx_liq,alr,7.267436428728355,0.7085106009462546,8.322381590726929
ERT,P_kbar,cpx_liq,alr,7.672517173768393,0.6751102422635524,8.37954008301029
XGB,P_kbar,cpx_liq,alr,7.406292841097794,0.6972654128512492,7.878571592449309
GB,P_kbar,cpx_liq,alr,7.262548958803217,0.7089025318937282,8.078810498706062
CatBoost,P_kbar,cpx_liq,alr,7.228917443318905,0.7115923261001584,8.071181590581721
LightGBM,P_kbar,cpx_liq,alr,7.322066818244874,0.7041117921592892,7.962666499624796
ElasticNet,P_kbar,cpx_liq,alr,7.712227991981382,0.6717384607572239,8.93144374491323
MLP,P_kbar,cpx_liq,alr,8.721922436372374,0.5801591213586386,7.9205893903218865
RF,P_kbar,cpx_liq,pwlr,7.015138642977244,0.7283981029471084,8.152525611551875
ERT,P_kbar,cpx_liq,pwlr,7.412852316135044,0.6967289341093856,8.207750442618126
XGB,P_kbar,cpx_liq,pwlr,7.073629825919581,0.7238500687794966,8.172849113360686
