pipeline,model,feature_set,track,target,n_seeds,rmse_std_8dp,is_exactly_zero,is_rounded_zero,inferred_source
cpx,ElasticNet,raw,cpx_liq,T_C,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,alr,cpx_only,T_C,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,pwlr,cpx_only,T_C,20,0.00000000,True,False,deterministic_fit
cpx,ElasticNet,raw,cpx_only,T_C,20,0.00000000,True,False,deterministic_fit
cpx,GB,alr,cpx_liq,P_kbar,20,0.00000000,True,False,seed_bug
cpx,GB,pwlr,cpx_liq,P_kbar,20,0.00000000,True,False,seed_bug
cpx,GB,raw,cpx_liq,P_kbar,20,0.00000000,True,False,seed_bug
cpx,GB,alr,cpx_only,P_kbar,20,0.00000000,True,False,seed_bug
cpx,GB,pwlr,cpx_only,P_kbar,20,0.00000000,True,False,seed_bug
cpx,GB,raw,cpx_only,P_kbar,20,0.00000000,True,False,seed_bug
cpx,GB,alr,cpx_liq,T_C,20,0.00000000,True,False,seed_bug
cpx,GB,pwlr,cpx_liq,T_C,20,0.00000000,True,False,seed_bug
cpx,GB,raw,cpx_liq,T_C,20,0.00000000,True,False,seed_bug
cpx,GB,alr,cpx_only,T_C,20,0.00000000,True,False,seed_bug
cpx,GB,pwlr,cpx_only,T_C,20,0.00000000,True,False,seed_bug
cpx,GB,raw,cpx_only,T_C,20,0.00000000,True,False,seed_bug
cpx,LightGBM,alr,cpx_liq,P_kbar,20,0.05238115,False,False,stochastic_fit_ok
cpx,LightGBM,pwlr,cpx_liq,P_kbar,20,0.05022448,False,False,stochastic_fit_ok
cpx,LightGBM,raw,cpx_liq,P_kbar,20,0.07503156,False,False,stochastic_fit_ok
cpx,LightGBM,alr,cpx_only,P_kbar,20,0.45633191,False,False,stochastic_fit_ok
cpx,LightGBM,pwlr,cpx_only,P_kbar,20,0.09100373,False,False,stochastic_fit_ok
cpx,LightGBM,raw,cpx_only,P_kbar,20,0.10401130,False,False,stochastic_fit_ok
cpx,LightGBM,alr,cpx_liq,T_C,20,1.53165751,False,False,stochastic_fit_ok
cpx,LightGBM,pwlr,cpx_liq,T_C,20,0.51084326,False,False,stochastic_fit_ok
cpx,LightGBM,raw,cpx_liq,T_C,20,1.30440556,False,False,stochastic_fit_ok
cpx,LightGBM,alr,cpx_only,T_C,20,0.60912450,False,False,stochastic_fit_ok
cpx,LightGBM,pwlr,cpx_only,T_C,20,0.47586239,False,False,stochastic_fit_ok
cpx,LightGBM,raw,cpx_only,T_C,20,0.60761089,False,False,stochastic_fit_ok
cpx,MLP,alr,cpx_liq,P_kbar,20,0.48701845,False,False,stochastic_fit_ok
cpx,MLP,pwlr,cpx_liq,P_kbar,20,0.59656056,False,False,stochastic_fit_ok
cpx,MLP,raw,cpx_liq,P_kbar,20,0.36036730,False,False,stochastic_fit_ok
cpx,MLP,alr,cpx_only,P_kbar,20,0.28317269,False,False,stochastic_fit_ok
cpx,MLP,pwlr,cpx_only,P_kbar,20,0.13842565,False,False,stochastic_fit_ok
cpx,MLP,raw,cpx_only,P_kbar,20,0.19331313,False,False,stochastic_fit_ok
cpx,MLP,alr,cpx_liq,T_C,20,7.67520379,False,False,stochastic_fit_ok
cpx,MLP,pwlr,cpx_liq,T_C,20,15.04936140,False,False,stochastic_fit_ok
cpx,MLP,raw,cpx_liq,T_C,20,6.61101242,False,False,stochastic_fit_ok
cpx,MLP,alr,cpx_only,T_C,20,3.14092000,False,False,stochastic_fit_ok
