locality,pipeline,tectonic_setting,expected_T_C_low,expected_T_C_high,expected_P_kbar_low,expected_P_kbar_high,expected_P_regime,n_samples_in_box,n_T_pred,T_pred_mean,T_pred_median,T_in_range_frac,n_P_pred,P_pred_mean,P_pred_median,P_in_range_frac,claims_eligible
Spitsbergen,cpx_only,INTRAPLATE VOLCANICS,900.0,1150.0,10.0,25.0,lithospheric_mantle,71,71.0,1199.5611481217925,1216.8279974689651,0.11267605633802817,71.0,29.29418957592366,32.291292361001005,0.2535211267605634,True
Spitsbergen,twopx,INTRAPLATE VOLCANICS,900.0,1150.0,10.0,25.0,lithospheric_mantle,11,11.0,1028.1301614255744,1021.5718967076511,1.0,11.0,13.359332691539418,13.415278434753418,1.0,False
Siberian craton,opx_only,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),900.0,1400.0,20.0,60.0,deeper_mantle,1049,1049.0,1265.1015118431794,1274.2983645941056,0.9990467111534795,1049.0,28.260715643761674,28.81284735993914,0.8350810295519543,True
Siberian craton,cpx_only,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),900.0,1400.0,20.0,60.0,deeper_mantle,2382,2382.0,1226.0313823930762,1228.5501883846337,0.9958018471872376,2382.0,59.043245767626324,59.64091626438079,0.45465994962216627,True
Siberian craton,twopx,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),900.0,1400.0,20.0,60.0,deeper_mantle,211,211.0,1065.7884977301246,1071.7404892907095,1.0,211.0,13.051017086652783,13.340824127197266,0.0,True
Kaapvaal craton,opx_only,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),900.0,1450.0,20.0,70.0,deeper_mantle,2583,2583.0,1235.8049888298476,1230.4913100500885,1.0,2583.0,18.89470704503733,14.396697247204738,0.3956639566395664,True
Kaapvaal craton,cpx_only,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),900.0,1450.0,20.0,70.0,deeper_mantle,2107,2107.0,1219.7238581752888,1218.4979762771948,0.9943046986236355,2107.0,52.02173392081469,57.46307988479902,0.6468913146654011,True
Kaapvaal craton,twopx,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),900.0,1450.0,20.0,70.0,deeper_mantle,363,363.0,1051.7713297785222,1068.7016197053867,0.9641873278236914,363.0,11.293537083407736,13.099913597106934,0.0,True
Kerguelen Plateau,opx_only,OCEANIC PLATEAU,1100.0,1300.0,10.0,25.0,lithospheric_mantle,54,54.0,1248.3748483677682,1274.373901487413,0.8333333333333334,54.0,18.952564052835957,18.249985398927592,0.8148148148148148,True
Kerguelen Plateau,cpx_only,OCEANIC PLATEAU,1100.0,1300.0,10.0,25.0,lithospheric_mantle,131,131.0,1152.7481355219707,1165.8911920614107,0.6870229007633588,131.0,16.644127134526503,15.571637963081375,0.44274809160305345,True
Kerguelen Plateau,twopx,OCEANIC PLATEAU,1100.0,1300.0,10.0,25.0,lithospheric_mantle,24,24.0,1010.0548320654185,995.5693150473905,0.041666666666666664,24.0,9.758817513783773,9.751159191131592,0.20833333333333334,True
Kilauea,opx_only,OCEAN ISLAND,1100.0,1250.0,0.5,5.0,shallow_crustal,2,2.0,1097.4142803063014,1097.4142803063014,0.0,2.0,5.289019363720093,5.289019363720093,0.0,False
Kilauea,cpx_only,OCEAN ISLAND,1100.0,1250.0,0.5,5.0,shallow_crustal,38,38.0,1140.995810110187,1143.1168519640082,1.0,38.0,0.917222594707981,0.49021906140665394,0.42105263157894735,True
Kilauea,twopx,OCEAN ISLAND,1100.0,1250.0,0.5,5.0,shallow_crustal,1,1.0,959.894616062652,959.894616062652,0.0,1.0,3.041877269744873,3.041877269744873,1.0,False
Iceland,opx_only,RIFT VOLCANICS,1100.0,1250.0,1.0,6.0,shallow_crustal,49,49.0,955.2860699435332,931.4366994142242,0.0,49.0,4.6260500629245325,4.6838503255278106,1.0,True
Iceland,cpx_only,RIFT VOLCANICS,1100.0,1250.0,1.0,6.0,shallow_crustal,2944,2944.0,1121.9200487342825,1123.7953864668316,0.7452445652173914,2944.0,1.4157095213655608,1.175259582363013,0.5088315217391305,True
Iceland,twopx,RIFT VOLCANICS,1100.0,1250.0,1.0,6.0,shallow_crustal,8,8.0,901.0312111390133,897.83384941896,0.0,8.0,3.4845752716064453,3.0528064966201782,1.0,False
Reunion,cpx_only,OCEAN ISLAND,1100.0,1250.0,1.0,8.0,shallow_crustal,246,246.0,1122.5713493627773,1115.9266121445253,0.9146341463414634,246.0,8.705847564911997,9.116259508455126,0.21951219512195122,True
Erta Ale,cpx_only,RIFT VOLCANICS,1100.0,1200.0,0.5,4.0,shallow_crustal,28,28.0,1083.5229783378243,1080.8214651539229,0.21428571428571427,28.0,2.2601115151762623,2.865269133526385,0.25,True
ArcPL_opx (locality #16),opx_liq_archive,CONVERGENT MARGIN,,,,,,197,,,,,,,,,True
