pipeline,track,target,regime_type,regime,regime_lo,regime_hi,n,method_family,method,method_label,rmse,rmse_lo,rmse_hi,mae,mae_lo,mae_hi,n_used
opx,opx_only,T_C,P,deeper_mantle,30.0,1000.0,29,v10,LightGBM/alr,v10 LightGBM alr,265.18906747181404,181.24853489256577,337.4339276131161,185.0476527574847,120.94783649977046,250.13897753000566,29
opx,opx_only,T_C,P,deeper_mantle,30.0,1000.0,29,v10,LightGBM/pwlr,v10 LightGBM pwlr,274.62777242572173,186.07338991816175,348.15186307141994,188.4452900730948,121.91693622905113,256.91675639847546,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,v10,LightGBM/raw,v10 LightGBM raw,24.87651596495683,15.562249076255835,33.47034155847285,18.827936976378954,13.341514177268145,24.70147853790701,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,v10,LightGBM/alr,v10 LightGBM alr,24.16794709608361,14.216329396909497,33.395525211617375,17.747353575184672,12.393622549088535,23.790721167370478,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,v10,LightGBM/pwlr,v10 LightGBM pwlr,21.07396414495918,9.12558172544325,31.93568593871082,12.756698149926514,7.574419593398632,19.517661724582688,29
opx,opx_only,T_C,P,deeper_mantle,30.0,1000.0,29,v10,ElasticNet/raw,v10 ElasticNet raw,247.60555971856934,167.1849036983914,313.4356851386966,181.04120662315307,122.19144406025282,238.89461128781994,29
opx,opx_only,T_C,P,deeper_mantle,30.0,1000.0,29,v10,ElasticNet/alr,v10 ElasticNet alr,266.46088091007766,187.2210001850651,330.6037353421837,200.3512646161284,142.7081015217802,259.9699371497722,29
opx,opx_only,T_C,P,deeper_mantle,30.0,1000.0,29,v10,ElasticNet/pwlr,v10 ElasticNet pwlr,274.57781408212986,181.36283747378323,343.2083822816387,190.88229330115118,122.94895919913753,257.1939608414092,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,v10,ElasticNet/raw,v10 ElasticNet raw,28.0415570500514,20.530659501478656,35.788973160563295,23.29311452271831,17.99630938891058,29.018207562928627,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,v10,ElasticNet/alr,v10 ElasticNet alr,28.808642011988184,21.354339217252548,36.539584422247806,24.438382243472976,19.16421006823751,29.95567588443202,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,v10,ElasticNet/pwlr,v10 ElasticNet pwlr,28.66617577887461,21.200179503744074,36.571198208224935,24.30192971389534,19.096760818301348,29.825147943657896,29
opx,opx_only,T_C,P,deeper_mantle,30.0,1000.0,29,v10,MLP/raw,v10 MLP raw,273.9459803428975,198.89954948521952,336.7386404458526,209.86502300391749,147.5964915207626,267.54358302573064,29
opx,opx_only,T_C,P,deeper_mantle,30.0,1000.0,29,v10,MLP/alr,v10 MLP alr,325.29942381670554,231.9303924152664,401.79090615897525,228.94667549620368,155.3911780983114,308.66729082522886,29
opx,opx_only,T_C,P,deeper_mantle,30.0,1000.0,29,v10,MLP/pwlr,v10 MLP pwlr,292.95721731912187,203.31788499206942,367.91680033191824,202.11809243818254,133.65058317024625,276.150649784894,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,v10,MLP/raw,v10 MLP raw,29.676313248639,22.31447179023879,35.66811989905169,22.743780249194717,16.057711799404018,29.461264957897463,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,v10,MLP/alr,v10 MLP alr,26.428341183186475,21.124209212643574,30.780495830187892,21.808301350994977,16.392503042756545,26.662301500341574,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,v10,MLP/pwlr,v10 MLP pwlr,25.743671178016406,19.780695611189728,30.63804980274534,21.48385904510167,16.438195635150215,26.244554281112464,29
opx,opx_only,P_kbar,P,deeper_mantle,30.0,1000.0,29,Putirka,Putirka 29c,Putirka 29c,30.923474603199114,21.451188613809244,38.86229791285133,23.88377305373496,15.822522075678496,31.919882680196984,24
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,RF/raw,v10 RF raw,150.37632455790293,132.25898854968483,168.17376716972643,134.42447134721132,116.21092991786286,153.31274864954554,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,RF/alr,v10 RF alr,149.60683818894222,132.61248950657244,166.22206675663082,135.01624526746764,117.98812129060718,152.5322024273574,48
opx,opx_only,T_C,P,P<5,0.0,5.0,48,v10,RF/pwlr,v10 RF pwlr,135.2316113027337,119.92097721944074,149.51712216642085,123.02753083924438,106.50749669598727,138.3897586669202,48
opx,opx_only,P_kbar,P,P<5,0.0,5.0,48,v10,RF/raw,v10 RF raw,7.9559334153149575,5.910596590097217,10.106759636694418,5.626891244464066,4.2258883657995705,7.40040771107906,48
