perturbation,regime,n,edges,a,b,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,pipeline,track,target,model,feature_set,seed,ships,overall_delta,max_regime_degradation
base,ALL,174,"[0.0, 5.0, 15.0, 30.0, 100.0]",,,3.8156075524062625,3.0776996465858186,4.5378510736536475,2.582553735852043,2.0282657117477387,3.201376096060701,1.2330538165542193,opx,opx_liq,P_kbar,MLP,raw,42,False,1.2330538165542193,3.150721691913752
inner_m1,shallow_crustal,47,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.09874399028722013,0.5074533477267855,2.964655163862068,1.4845694346884597,3.957224241984493,0.729189849763134,0.6313519895559633,0.8327656567763836,2.235465314098934,opx,opx_liq,P_kbar,MLP,raw,42,False,1.2338542439572846,3.150721691913752
inner_m1,deep_crustal_MASH,61,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.0861673927084164,9.033765112610846,2.0789452265138104,1.672338653936507,2.5152363038761054,1.9707543904154652,1.6184466805905864,2.2963442317341856,0.10819083609834523,opx,opx_liq,P_kbar,MLP,raw,42,False,1.2338542439572846,3.150721691913752
inner_m1,lithospheric_mantle,58,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.43460409894440255,11.106823577541029,5.379807885695734,4.008224721156715,6.846437196743295,2.635698800476041,1.994987568500694,3.1712772047364934,2.744109085219693,opx,opx_liq,P_kbar,MLP,raw,42,False,1.2338542439572846,3.150721691913752
inner_m1,deeper_mantle,8,"[0.0, 4.0, 14.0, 29.0, 100.0]",0.2352907854617767,26.575362492063746,4.715032153289623,3.616336952667828,5.954445314701664,7.865753845203375,4.025586715730525,10.745041668470222,-3.150721691913752,opx,opx_liq,P_kbar,MLP,raw,42,False,1.2338542439572846,3.150721691913752
inner_m1,ALL,174,"[0.0, 4.0, 14.0, 29.0, 100.0]",,,3.8156075524062625,3.0776996465858186,4.5378510736536475,2.581753308448978,2.0202448892685934,3.2001065206506367,1.2338542439572846,opx,opx_liq,P_kbar,MLP,raw,42,False,1.2338542439572846,3.150721691913752
inner_p1,shallow_crustal,50,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.17629528059587998,0.6386473776254427,3.0346843280538303,1.81253201884909,4.03871556054885,1.1722396178882908,0.8971670817694074,1.3928653658513008,1.8624447101655395,opx,opx_liq,P_kbar,MLP,raw,42,True,1.4845166626775055,-0.8721022510838434
inner_p1,deep_crustal_MASH,72,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.19399058879929976,9.091052734281368,2.9490731158568426,2.308422169392902,3.5142655194473154,2.076970864772999,1.736008704088163,2.3983299131066302,0.8721022510838434,opx,opx_liq,P_kbar,MLP,raw,42,True,1.4845166626775055,-0.8721022510838434
inner_p1,lithospheric_mantle,49,"[0.0, 6.0, 16.0, 31.0, 100.0]",0.4135504615708245,14.58355055818037,5.226464913676355,3.7107458406639924,6.774038134049789,3.0712588619772436,2.634653007486725,3.504877388153779,2.1552060516991114,opx,opx_liq,P_kbar,MLP,raw,42,True,1.4845166626775055,-0.8721022510838434
inner_p1,deeper_mantle,3,"[0.0, 6.0, 16.0, 31.0, 100.0]",,,,,,,,,,opx,opx_liq,P_kbar,MLP,raw,42,True,1.4845166626775055,-0.8721022510838434
