pipeline,track,target,feature_set,model,seed,aug_n_copies,aug_rel_noise,test_rmse,elapsed_s
opx,opx_liq,T_C,raw,MLP,44,15,0.03,108.71384819661083,4.320279598236084
opx,opx_liq,T_C,raw,MLP,45,15,0.03,103.8568811416108,5.799001216888428
opx,opx_liq,T_C,raw,MLP,46,15,0.03,101.44307476969587,4.741572380065918
opx,opx_liq,T_C,raw,MLP,47,15,0.03,119.98278171331286,10.617959260940552
opx,opx_liq,T_C,raw,MLP,48,15,0.03,102.04101161107609,4.2713096141815186
opx,opx_liq,T_C,raw,MLP,49,15,0.03,103.50774952857466,4.093441724777222
opx,opx_liq,T_C,raw,MLP,50,15,0.03,104.48305510971478,3.3882367610931396
opx,opx_liq,T_C,raw,MLP,51,15,0.03,105.17978840521131,3.677086353302002
opx,opx_liq,T_C,raw,MLP,52,15,0.03,107.08819865298686,3.843083143234253
opx,opx_liq,T_C,raw,MLP,53,15,0.03,104.76165531191334,4.602081775665283
opx,opx_liq,T_C,raw,MLP,54,15,0.03,102.4514959608008,4.2907023429870605
opx,opx_liq,T_C,raw,MLP,55,15,0.03,107.70381793408669,4.939524412155151
opx,opx_liq,T_C,raw,MLP,56,15,0.03,103.23198504034188,3.547203779220581
opx,opx_liq,T_C,raw,MLP,57,15,0.03,100.62418648548329,4.214484453201294
opx,opx_liq,T_C,raw,MLP,58,15,0.03,102.84007777293411,8.031844854354858
opx,opx_liq,T_C,raw,MLP,59,15,0.03,107.47864072009514,5.215141773223877
opx,opx_liq,T_C,raw,MLP,60,15,0.03,121.8029317038992,18.091572284698486
opx,opx_liq,T_C,raw,MLP,61,15,0.03,106.22388703620533,4.9421398639678955
opx,opx_liq,T_C,alr,RF,42,15,0.03,159.2896204102911,5.818869590759277
opx,opx_liq,T_C,alr,RF,43,15,0.03,163.66491456246135,6.377405643463135
opx,opx_liq,T_C,alr,RF,44,15,0.03,161.90491173481377,5.849317789077759
opx,opx_liq,T_C,alr,RF,45,15,0.03,162.83397713806164,6.0014328956604
opx,opx_liq,T_C,alr,RF,46,15,0.03,162.4266415445103,5.997707366943359
opx,opx_liq,T_C,alr,RF,47,15,0.03,159.6988194837032,5.872109413146973
opx,opx_liq,T_C,alr,RF,48,15,0.03,162.68485064791466,5.86699366569519
opx,opx_liq,T_C,alr,RF,49,15,0.03,162.18259401538472,5.850676774978638
opx,opx_liq,T_C,alr,RF,50,15,0.03,160.388063915544,5.930141925811768
opx,opx_liq,T_C,alr,RF,51,15,0.03,157.97690319688365,5.9529030323028564
opx,opx_liq,T_C,alr,RF,52,15,0.03,159.11762861187532,6.659454584121704
opx,opx_liq,T_C,alr,RF,53,15,0.03,157.9460980431668,5.901458978652954
opx,opx_liq,T_C,alr,RF,54,15,0.03,155.29741170774457,5.9208824634552
opx,opx_liq,T_C,alr,RF,55,15,0.03,163.28255379567264,5.994641542434692
opx,opx_liq,T_C,alr,RF,56,15,0.03,157.36877512645796,6.267780065536499
opx,opx_liq,T_C,alr,RF,57,15,0.03,158.78685724701606,5.949563026428223
opx,opx_liq,T_C,alr,RF,58,15,0.03,162.4995698503299,5.874053239822388
opx,opx_liq,T_C,alr,RF,59,15,0.03,160.86827950436933,6.0707597732543945
opx,opx_liq,T_C,alr,RF,60,15,0.03,159.35172656261884,7.548617362976074
opx,opx_liq,T_C,alr,RF,61,15,0.03,161.15949206679846,6.929590463638306
opx,opx_liq,T_C,alr,ERT,42,15,0.03,157.87921527984722,0.874065637588501
opx,opx_liq,T_C,alr,ERT,43,15,0.03,155.75482467840297,0.8691995143890381
opx,opx_liq,T_C,alr,ERT,44,15,0.03,157.9219848275098,1.1604244709014893
opx,opx_liq,T_C,alr,ERT,45,15,0.03,156.33979177936706,1.0950632095336914
opx,opx_liq,T_C,alr,ERT,46,15,0.03,156.18986950603855,0.9558641910552979
opx,opx_liq,T_C,alr,ERT,47,15,0.03,157.23748050729694,0.8948009014129639
opx,opx_liq,T_C,alr,ERT,48,15,0.03,158.37752352331182,0.8695194721221924
opx,opx_liq,T_C,alr,ERT,49,15,0.03,155.6219302373852,0.9117493629455566
opx,opx_liq,T_C,alr,ERT,50,15,0.03,158.62807375965556,0.8879542350769043
opx,opx_liq,T_C,alr,ERT,51,15,0.03,157.88287277767236,1.1100149154663086
opx,opx_liq,T_C,alr,ERT,52,15,0.03,156.70737064285424,0.9733736515045166
opx,opx_liq,T_C,alr,ERT,53,15,0.03,157.41833516234428,0.9351131916046143
opx,opx_liq,T_C,alr,ERT,54,15,0.03,156.18575053309328,0.8899164199829102
opx,opx_liq,T_C,alr,ERT,55,15,0.03,157.52108815005025,0.9888217449188232
opx,opx_liq,T_C,alr,ERT,56,15,0.03,157.0321407687551,0.9386138916015625
opx,opx_liq,T_C,alr,ERT,57,15,0.03,157.74629739022475,0.9456675052642822
opx,opx_liq,T_C,alr,ERT,58,15,0.03,156.74787100063568,1.196744441986084
opx,opx_liq,T_C,alr,ERT,59,15,0.03,159.53764900446973,1.0797626972198486
opx,opx_liq,T_C,alr,ERT,60,15,0.03,154.68738916880224,0.8153400421142578
opx,opx_liq,T_C,alr,ERT,61,15,0.03,155.08125838985148,0.7784719467163086
opx,opx_liq,T_C,alr,XGB,42,15,0.03,162.68411085976317,1.8697681427001953
opx,opx_liq,T_C,alr,XGB,43,15,0.03,163.1893785774103,1.8149170875549316
opx,opx_liq,T_C,alr,XGB,44,15,0.03,161.46891178890232,1.9685678482055664
opx,opx_liq,T_C,alr,XGB,45,15,0.03,162.36880209455774,1.5591816902160645
opx,opx_liq,T_C,alr,XGB,46,15,0.03,160.74626094688767,1.8957574367523193
opx,opx_liq,T_C,alr,XGB,47,15,0.03,160.3962761492292,1.7129909992218018
opx,opx_liq,T_C,alr,XGB,48,15,0.03,164.44232515719932,1.9090776443481445
opx,opx_liq,T_C,alr,XGB,49,15,0.03,160.53064265927028,1.8526833057403564
opx,opx_liq,T_C,alr,XGB,50,15,0.03,161.36361936687803,1.9378271102905273
opx,opx_liq,T_C,alr,XGB,51,15,0.03,156.51187393860354,2.034954309463501
opx,opx_liq,T_C,alr,XGB,52,15,0.03,164.1247682716934,1.7548093795776367
opx,opx_liq,T_C,alr,XGB,53,15,0.03,159.41718343771933,1.6335930824279785
opx,opx_liq,T_C,alr,XGB,54,15,0.03,160.35675484932216,1.5796434879302979
opx,opx_liq,T_C,alr,XGB,55,15,0.03,160.74109023112663,2.2519216537475586
opx,opx_liq,T_C,alr,XGB,56,15,0.03,160.05962368017677,1.9676263332366943
opx,opx_liq,T_C,alr,XGB,57,15,0.03,159.28133944125003,2.3246047496795654
opx,opx_liq,T_C,alr,XGB,58,15,0.03,163.15862515740523,17.242428064346313
