pipeline,model,target,track,feature_set,mean,std,min,max,count
opx,ElasticNet,P_kbar,opx_liq,raw,5.585970379506894,0.0,5.585970379506894,5.585970379506894,20
opx,ElasticNet,P_kbar,opx_only,alr,13.287063103294065,0.0,13.287063103294065,13.287063103294065,20
opx,ElasticNet,P_kbar,opx_only,pwlr,13.146659441245522,0.0,13.14665944124552,13.14665944124552,20
opx,ElasticNet,P_kbar,opx_only,raw,13.260640816734675,0.0,13.260640816734677,13.260640816734677,20
opx,ElasticNet,T_C,opx_liq,alr,86.30549546200969,0.0,86.30549546200969,86.30549546200969,20
opx,ElasticNet,T_C,opx_liq,pwlr,87.82374772804963,0.0,87.82374772804963,87.82374772804963,20
opx,ElasticNet,T_C,opx_liq,raw,77.06189003628756,0.0,77.06189003628756,77.06189003628756,20
opx,ElasticNet,T_C,opx_only,alr,172.3240765068681,0.0,172.3240765068681,172.3240765068681,20
opx,ElasticNet,T_C,opx_only,pwlr,170.63253534764343,0.0,170.63253534764343,170.63253534764343,20
opx,ElasticNet,T_C,opx_only,raw,161.44341013521057,0.0,161.44341013521057,161.44341013521057,20
opx,GB,P_kbar,opx_liq,alr,5.119886200031969,0.0,5.119886200031969,5.119886200031969,20
opx,GB,P_kbar,opx_liq,pwlr,5.048598637281868,0.0,5.048598637281868,5.048598637281868,20
opx,GB,P_kbar,opx_liq,raw,4.756658215332069,0.0,4.756658215332069,4.756658215332069,20
opx,GB,P_kbar,opx_only,alr,11.809735279814351,0.0,11.809735279814351,11.809735279814351,20
opx,GB,P_kbar,opx_only,pwlr,11.22502923362834,0.0,11.22502923362834,11.22502923362834,20
opx,GB,P_kbar,opx_only,raw,11.78393254859307,0.0,11.78393254859307,11.78393254859307,20
opx,GB,T_C,opx_liq,alr,93.42528308903331,0.0,93.42528308903331,93.42528308903331,20
opx,GB,T_C,opx_liq,pwlr,88.06798441640005,0.0,88.06798441640005,88.06798441640005,20
opx,GB,T_C,opx_liq,raw,86.18018609793371,0.0,86.18018609793371,86.18018609793371,20
opx,GB,T_C,opx_only,alr,148.44211222306242,0.0,148.44211222306242,148.44211222306242,20
opx,GB,T_C,opx_only,pwlr,164.95764606107355,0.0,164.95764606107355,164.95764606107355,20
opx,GB,T_C,opx_only,raw,158.28441115545291,0.0,158.28441115545291,158.28441115545291,20
opx,LightGBM,P_kbar,opx_liq,alr,5.366878843023518,0.14646297880581832,5.134880769853156,5.659614433606689,20
opx,LightGBM,P_kbar,opx_liq,pwlr,5.11567150465604,0.16002624590586528,4.755168129713286,5.394992207963286,20
opx,LightGBM,P_kbar,opx_liq,raw,5.0325762465730355,0.05995907720252528,4.8629963016653575,5.132088757465048,20
opx,LightGBM,P_kbar,opx_only,alr,11.909175910461958,0.1417476609870898,11.597979250211552,12.081058181874196,20
opx,LightGBM,P_kbar,opx_only,pwlr,10.899476512495454,0.0972707616723694,10.676755962244362,11.104721079362776,20
opx,LightGBM,P_kbar,opx_only,raw,11.797613092437171,0.033178720866712155,11.743506859496945,11.872853367146307,20
opx,LightGBM,T_C,opx_liq,alr,95.43630668684327,1.8260498161559053,93.01589888011016,98.492153278284,20
opx,LightGBM,T_C,opx_liq,pwlr,88.27711619405633,0.5456707167527042,86.8943971592601,89.42478151613267,20
opx,LightGBM,T_C,opx_liq,raw,87.28491678992012,0.2812851621319154,86.84650520329576,88.0670806299773,20
opx,LightGBM,T_C,opx_only,alr,146.6274772463645,0.5877074458934813,145.51327185211372,147.98216692463086,20
opx,LightGBM,T_C,opx_only,pwlr,151.48678840063445,1.0662190519135901,149.69680383444012,153.46409697572912,20
opx,LightGBM,T_C,opx_only,raw,152.10082110131157,0.9191623930230243,150.68715263746017,153.88399938455402,20
opx,MLP,P_kbar,opx_liq,alr,5.638245717473746,0.8427226445222893,3.9636171687158326,7.278470533934945,20
opx,MLP,P_kbar,opx_liq,pwlr,6.282139217256756,1.0447691240093095,4.827539802478023,8.56200646729248,20
opx,MLP,P_kbar,opx_liq,raw,4.404284713402804,0.4603454305344115,3.736765313523079,5.382472797868466,20
opx,MLP,P_kbar,opx_only,alr,11.816971100122704,0.7414610369828145,10.528279335108785,13.577822625581204,20
opx,MLP,P_kbar,opx_only,pwlr,11.390108319789439,1.11142771975768,9.359804549941972,13.432690890740432,20
opx,MLP,P_kbar,opx_only,raw,13.43246847813987,0.6602239507373959,12.31189170172133,14.402891487930283,20
opx,MLP,T_C,opx_liq,alr,112.83068636619043,6.272504203655741,102.08925757128168,126.37037136982131,20
opx,MLP,T_C,opx_liq,pwlr,144.76463021011583,10.795222381315423,134.95221196539524,184.1189636126332,20
opx,MLP,T_C,opx_liq,raw,148.20904989301428,10.219198672306822,140.60173781140747,188.17974076458955,20
opx,MLP,T_C,opx_only,alr,179.27604575215665,4.412035916486524,169.8448436970565,187.0875290965652,20
opx,MLP,T_C,opx_only,pwlr,168.40087356641303,4.4323090286013125,160.80712768986342,178.0596258512216,20
opx,MLP,T_C,opx_only,raw,154.74433709192013,3.0843790525496444,149.34785394729118,161.4825672539557,20
opx,RF,P_kbar,opx_liq,alr,5.050547820305052,0.05545106426470832,4.873695273642589,5.108880479786854,20
opx,RF,P_kbar,opx_liq,pwlr,5.282329089148345,0.058208019691913866,5.183877759622035,5.389091073059587,20
