pipeline,track,target,model,feature_set,feature,mean_abs_shap,rank
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_SiO2_MnO,0.6216919422149658,54
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_MnO_MgO,0.5754445195198059,55
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Al2O3_Cr2O3,0.4768465757369995,56
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_FeO_total_CaO,0.3766821026802063,57
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_Al2O3_Na2O,0.33785298466682434,58
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Cr2O3_MnO,0.3259369134902954,59
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_SiO2_Na2O,0.31614241003990173,60
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_TiO2_CaO,0.3123893141746521,61
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_SiO2_Cr2O3,0.3034331202507019,62
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Cr2O3_CaO,0.2981003224849701,63
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_liq_TiO2_FeO,0.26442402601242065,64
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_FeO_total_MnO,0.2535286545753479,65
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Cr2O3_FeO_total,0.24326807260513306,66
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_MnO_CaO,0.23689505457878113,67
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_Cr2O3_MgO,0.23672407865524292,68
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_TiO2_FeO_total,0.2303801327943802,69
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_TiO2_Cr2O3,0.22850510478019714,70
cpx,cpx_liq,T_C,ERT,pwlr,pwlr_TiO2_MnO,0.15106070041656494,71
cpx,cpx_liq,T_C,ERT,pwlr,Aeg,0.10202278196811676,72
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_CaO_Na2O,4.3039231300354,1
cpx,cpx_liq,P_kbar,LightGBM,pwlr,Jd,1.7507017850875854,2
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_liq_MgO_CaO,1.0152310132980347,3
cpx,cpx_liq,P_kbar,LightGBM,pwlr,pwlr_Al2O3_Na2O,0.9141210913658142,4
cpx,cpx_liq,P_kbar,LightGBM,pwlr,CaTs,0.8237611055374146,5
