pipeline,model,feature_set,track,target,rmse_point,rmse_seed42,rmse_seed_std,rmse_ci_lo,rmse_ci_hi,ci_half_width,n_test,ci_source
opx,LightGBM,pwlr,opx_liq,T_C,88.27711619405633,88.43982595114524,0.5456707167527042,74.48038128084158,102.56803501021848,14.043826864688448,174,bootstrap_n500_seed42
opx,ElasticNet,pwlr,opx_liq,T_C,87.82374772804963,87.82374772804963,0.0,71.56583128784284,104.59919201348416,16.516680362820658,174,bootstrap_n500_seed42
opx,MLP,pwlr,opx_liq,T_C,144.76463021011585,156.70205626460464,10.795222381315424,138.94731053609166,173.3910779222018,17.221883693055062,174,bootstrap_n500_seed42
opx,TabPFN,raw,opx_liq,T_C,84.88485420309352,84.09436584153448,1.1235791422173944,69.0677717163688,101.23892322074276,16.085575752186983,174,bootstrap_n500_seed42_tabpfn
opx,RF,raw,opx_liq,P_kbar,5.401580956630026,5.42136820051842,0.0422938996911734,4.654161762466322,6.196569148513288,0.7712036930234829,174,bootstrap_n500_seed42
opx,ERT,raw,opx_liq,P_kbar,5.738605925685208,5.716456434300911,0.0468268004126877,4.692158473177524,6.883439877266219,1.0956407020443475,174,bootstrap_n500_seed42
opx,XGB,raw,opx_liq,P_kbar,4.787843439523407,4.742615369523226,0.0732562917153658,4.024374885303389,5.498541695335894,0.7370834050162527,174,bootstrap_n500_seed42
opx,GB,raw,opx_liq,P_kbar,4.756658215332069,4.756658215332069,0.0,4.129919779681537,5.405249486084864,0.6376648532016636,174,bootstrap_n500_seed42
opx,CatBoost,raw,opx_liq,P_kbar,5.561101243664788,5.484648241870014,0.1281654388955784,4.524327648706163,6.5417608381547545,1.0087165947242958,174,bootstrap_n500_seed42
opx,LightGBM,raw,opx_liq,P_kbar,5.032576246573036,5.01687393312468,0.0599590772025252,4.3454369744772166,5.690383824439628,0.6724734249812059,174,bootstrap_n500_seed42
opx,ElasticNet,raw,opx_liq,P_kbar,5.585970379506894,5.585970379506894,0.0,4.542919536871594,6.73618619707152,1.096633330099963,174,bootstrap_n500_seed42
opx,MLP,raw,opx_liq,P_kbar,4.404284713402804,3.8156075924116495,0.4603454305344115,3.0776996777046275,4.537851113389096,0.7300757178422344,174,bootstrap_n500_seed42
opx,RF,alr,opx_liq,P_kbar,5.050547820305052,5.065722658162609,0.0554510642647083,4.234926773366281,5.899939108864167,0.8325061677489431,174,bootstrap_n500_seed42
opx,ERT,alr,opx_liq,P_kbar,6.636192860311445,6.6496458465320005,0.0451584356971322,5.407100299342237,7.950825381219105,1.271862540938434,174,bootstrap_n500_seed42
opx,XGB,alr,opx_liq,P_kbar,4.815075489652036,4.926977363783257,0.1175437449387304,4.025994472927846,5.849701793461212,0.9118536602666829,174,bootstrap_n500_seed42
opx,GB,alr,opx_liq,P_kbar,5.119886200031969,5.119886200031969,0.0,4.30300701421634,6.066461382033306,0.8817271839084828,174,bootstrap_n500_seed42
opx,CatBoost,alr,opx_liq,P_kbar,5.042063545060971,5.104686653586727,0.0889871915130706,4.27858230425822,5.972047995436197,0.8467328455889889,174,bootstrap_n500_seed42
opx,LightGBM,alr,opx_liq,P_kbar,5.366878843023518,5.267934211738234,0.1464629788058183,4.278103725555824,6.283349818436509,1.0026230464403425,174,bootstrap_n500_seed42
opx,ElasticNet,alr,opx_liq,P_kbar,6.482865762630683,6.482865762630683,0.0,5.7454118516054,7.196808745255059,0.7256984468248295,174,bootstrap_n500_seed42
opx,MLP,alr,opx_liq,P_kbar,5.638245717473746,5.491743896088443,0.8427226445222893,4.716640845412952,6.236455535988369,0.7599073452877083,174,bootstrap_n500_seed42
opx,RF,pwlr,opx_liq,P_kbar,5.282329089148345,5.249150516567117,0.0582080196919138,4.718495832639095,5.835958654223586,0.5587314107922454,174,bootstrap_n500_seed42
opx,ERT,pwlr,opx_liq,P_kbar,6.445255786877803,6.6338216051795325,0.1019286225769638,5.776479938910901,7.587561535363806,0.9055407982264523,174,bootstrap_n500_seed42
opx,XGB,pwlr,opx_liq,P_kbar,5.091904541561793,5.031449146588685,0.0763680277727738,4.260119145722384,5.82748768695641,0.7836842706170128,174,bootstrap_n500_seed42
opx,GB,pwlr,opx_liq,P_kbar,5.048598637281868,5.048598637281868,0.0,4.257896182769203,5.914430503490635,0.8282671603607161,174,bootstrap_n500_seed42
opx,CatBoost,pwlr,opx_liq,P_kbar,5.241995825903415,5.230592092571972,0.1134010774069278,4.301271276048942,6.265952268784695,0.9823404963678768,174,bootstrap_n500_seed42
opx,LightGBM,pwlr,opx_liq,P_kbar,5.11567150465604,5.394992207963286,0.1600262459058652,4.4931776276174,6.357501518152939,0.9321619452677696,174,bootstrap_n500_seed42
opx,ElasticNet,pwlr,opx_liq,P_kbar,6.638145442783236,6.638145442783235,0.0,5.832996889917531,7.401841051897399,0.784422080989934,174,bootstrap_n500_seed42
opx,MLP,pwlr,opx_liq,P_kbar,6.282139217256756,5.720952328477712,1.0447691240093095,5.094456478206151,6.373622914236936,0.6395832180153924,174,bootstrap_n500_seed42
opx,TabPFN,raw,opx_liq,P_kbar,5.478433222865784,5.2863540684736,0.1324916880809362,4.6159357818685445,5.987178541265209,0.6856213796983321,174,bootstrap_n500_seed42_tabpfn
opx,RF,raw,opx_only,T_C,157.1585484305007,158.2028301078936,0.7029867212826968,133.2769398410301,181.89804631714566,24.31055323805778,190,bootstrap_n500_seed42
opx,ERT,raw,opx_only,T_C,162.65564346279376,163.11989303243516,0.8354822453067281,137.12811410202153,189.71411074727374,26.292998322626104,190,bootstrap_n500_seed42
opx,XGB,raw,opx_only,T_C,152.00402676254456,150.56434145730861,1.7152899318132186,122.56206994173762,176.47859430954367,26.958262183903024,190,bootstrap_n500_seed42
opx,GB,raw,opx_only,T_C,158.28441115545291,158.28441115545291,0.0,128.202576319844,185.76652299396065,28.781973337058318,190,bootstrap_n500_seed42
opx,CatBoost,raw,opx_only,T_C,156.42809064641102,156.70885646136742,2.0765672415099083,128.3392781069027,182.97938284696306,27.320052370030183,190,bootstrap_n500_seed42
