regime,T_obs,T_pred,T_residual,P_obs,P_pred,P_residual
shallow_crustal,1208.0,1199.73563413807,-8.264365861929946,0.001,1.7226064596974713,1.7216064596974714
shallow_crustal,1250.0,1227.639046277202,-22.360953722798058,0.001,-0.4363031950753265,-0.4373031950753265
shallow_crustal,1208.0,1210.6399383222624,2.6399383222624238,0.001,4.0044403336305425,4.003440333630542
shallow_crustal,1261.0,1248.5750312314624,-12.42496876853761,0.001,1.3839151096099678,1.3829151096099679
shallow_crustal,1209.0,1181.3611399215433,-27.638860078456673,0.001,0.594325995495038,0.593325995495038
shallow_crustal,1217.0,1193.6736122874947,-23.326387712505266,0.001,0.871992859055684,0.870992859055684
shallow_crustal,1299.0,1250.219635029188,-48.78036497081189,0.001,0.04638535728935872,0.04538535728935872
shallow_crustal,1264.0,1223.5752068803513,-40.42479311964871,0.001,-0.4135647821318144,-0.4145647821318144
shallow_crustal,1210.0,1184.092493851495,-25.907506148505036,0.001,0.7076623672903528,0.7066623672903528
shallow_crustal,1264.0,1257.6424218411735,-6.357578158826527,0.001,0.3549955001918553,0.3539955001918553
shallow_crustal,1210.0,1194.380693363208,-15.61930663679209,0.001,2.70112597191117,2.70012597191117
shallow_crustal,1334.0,1307.332015276703,-26.667984723296968,0.001,0.12069415178680992,0.11969415178680992
shallow_crustal,1260.0,1222.9838939185029,-37.01610608149713,0.001,-0.2443001879754621,-0.2453001879754621
shallow_crustal,1206.0,1168.3252005888519,-37.674799411148115,0.001,0.02788363577945302,0.02688363577945302
shallow_crustal,1331.0,1313.0882668133822,-17.911733186617766,0.001,-0.8169985634912307,-0.8179985634912307
shallow_crustal,1261.0,1266.9281898914405,5.928189891440525,0.001,1.7839994496017495,1.7829994496017496
shallow_crustal,1295.0,1277.7093431206954,-17.290656879304606,0.001,-0.7054891089441004,-0.7064891089441004
shallow_crustal,1294.0,1272.3917860648128,-21.608213935187223,0.001,0.8696932283134975,0.8686932283134975
shallow_crustal,1280.0,1244.348403182685,-35.65159681731507,0.001,-0.4090429890448731,-0.4100429890448731
shallow_crustal,1251.0,1247.304536409403,-3.695463590597001,0.001,-0.5220457608282407,-0.5230457608282407
shallow_crustal,1339.0,1291.2669993094732,-47.73300069052675,0.001,0.24541008948445314,0.24441008948445314
shallow_crustal,1251.0,1239.8224136331567,-11.177586366843343,0.001,-0.3764431127883669,-0.3774431127883669
lithospheric_mantle,1300.0,1177.1276857302305,-122.8723142697695,15.0,8.687967428662958,-6.312032571337042
shallow_crustal,1161.0,1144.520775835661,-16.47922416433903,0.001,1.233521318076954,1.232521318076954
shallow_crustal,1198.0,1163.4029403936347,-34.59705960636529,0.001,-0.3271819998258951,-0.3281819998258951
shallow_crustal,1323.0,1303.1128229656013,-19.887177034398746,0.001,-0.6100499489792603,-0.6110499489792603
shallow_crustal,1300.0,1255.556176787331,-44.44382321266903,0.001,-0.6846033451041118,-0.6856033451041118
shallow_crustal,1179.0,1161.967796957704,-17.032203042296032,0.001,0.7706125787088369,0.7696125787088369
shallow_crustal,1309.0,1279.6546310218719,-29.345368978128135,0.001,0.24444949148059064,0.24344949148059064
shallow_crustal,1254.0,1199.2930190995621,-54.706980900437884,0.001,-0.7856171387149768,-0.7866171387149768
shallow_crustal,1334.0,1314.4867655174867,-19.513234482513326,0.001,0.6991962036194235,0.6981962036194235
shallow_crustal,1196.0,1175.0954327036293,-20.904567296370715,0.001,0.5994213696658048,0.5984213696658048
shallow_crustal,1265.0,1223.5857080482356,-41.414291951764426,0.001,-0.8040448399635214,-0.8050448399635214
shallow_crustal,1206.0,1162.5738770148625,-43.426122985137454,0.001,-0.25207473497966987,-0.25307473497966987
shallow_crustal,1300.0,1283.8315018819278,-16.168498118072193,0.001,-0.9590162650872134,-0.9600162650872134
deep_crustal_MASH,1315.0,1349.6619190260258,34.66191902602577,12.000000476837,15.759665903152332,3.7596654263153315
deep_crustal_MASH,1300.0,1311.392229187732,11.392229187732028,12.000000476837,14.218570304072498,2.2185698272354983
deep_crustal_MASH,1065.0,1072.8344406543843,7.834440654384252,8.0000001192093,1.6386481094138696,-6.36135200979543
deep_crustal_MASH,1315.0,1303.9681809808374,-11.03181901916264,12.000000476837,11.900943510276294,-0.09905696656070617
deep_crustal_MASH,1285.0,1307.632648590535,22.632648590534927,12.000000476837,14.748357312636044,2.7483568357990436
deep_crustal_MASH,1270.0,1306.070163254697,36.070163254697036,12.000000476837,15.143491844884194,3.1434913680471936
deep_crustal_MASH,1285.0,1310.9885323847466,25.988532384746577,12.000000476837,14.258240191573599,2.2582397147365985
deep_crustal_MASH,1220.0,1257.642815177755,37.64281517775498,13.999999761580998,13.046795969219085,-0.9532037923619132
lithospheric_mantle,1260.0,1272.144478028192,12.144478028191998,16.000000238419002,11.540936940258685,-4.459063298160316
