pipeline,track,target,feature_set,model,seed,winner,form,regime,n,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,delta_lo,delta_hi
cpx,cpx_only,T_C,pwlr,ERT,51,none,A,lithospheric_mantle,213,140.28601402893688,109.92300065464735,168.13633653326386,155.8865809555665,135.30725939996066,175.87240206414012,-15.600566926629625,-29.840639322743428,-4.324825355740625
cpx,cpx_only,T_C,pwlr,ERT,51,none,A,deeper_mantle,142,188.36336742354555,161.24412848998745,214.87670406192657,194.71809463630598,169.7514396740728,219.08257723927917,-6.354727212760423,-26.035121157255602,12.028141103656417
cpx,cpx_only,T_C,pwlr,ERT,51,none,A,ALL,784,127.45764215625435,115.63110843867001,139.6437465258017,133.91388765496413,123.31873699927958,145.35354903554395,-6.456245498709777,-12.919176678267217,-0.37598908576331214
cpx,cpx_only,T_C,pwlr,ERT,51,none,B,shallow_crustal,236,89.73553031425944,78.84435141303584,100.96251399737397,88.45572155931228,77.54171014661557,99.66121859662694,1.2798087549471546,0.691213410398705,1.993815372550596
cpx,cpx_only,T_C,pwlr,ERT,51,none,B,deep_crustal_MASH,193,91.2182495949714,74.84963762736322,113.16258600611968,89.02878264900377,72.06421920619684,111.34200221027716,2.1894669459676237,1.2866725581754004,3.4198830119250974
cpx,cpx_only,T_C,pwlr,ERT,51,none,B,lithospheric_mantle,213,140.28601402893688,109.92300065464735,168.13633653326386,137.9748272993558,108.65972416016555,164.6106139753782,2.311186729581067,-0.7722442869806159,5.03752471385581
cpx,cpx_only,T_C,pwlr,ERT,51,none,B,deeper_mantle,142,188.36336742354555,161.24412848998745,214.87670406192657,203.490682301605,177.02330123340244,228.38456812129473,-15.127314878059451,-19.585301822551354,-10.523407203224867
cpx,cpx_only,T_C,pwlr,ERT,51,none,B,ALL,784,127.45764215625435,115.63110843867001,139.6437465258017,130.3018332280842,118.76916837782778,142.55996444077624,-2.8441910718298544,-4.5348124924222155,-1.1347189507580773
cpx,cpx_only,T_C,pwlr,ERT,52,none,A,shallow_crustal,236,89.34781927970253,78.36853751784174,100.51245455901233,88.25591021927431,76.85264282966774,99.64585603798368,1.0919090604282218,-1.5228340027049145,3.752059803561054
cpx,cpx_only,T_C,pwlr,ERT,52,none,A,deep_crustal_MASH,193,90.896282759118,75.22671931349251,111.71814055413472,92.10650220110323,75.78112196570557,113.44031052815266,-1.210219441985231,-2.9024768430568506,0.7170349627941313
