pipeline,model,target,track,feature_set,seed,test_rmse,rmse,mae,r2,n_train,n_test
cpx,TabPFN,P_kbar,cpx_liq,raw,55,7.307079953457775,7.307079953457775,3.4163293462615147,0.7053218052479154,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,56,7.32781469643093,7.32781469643093,3.3129617175474326,0.703647060831279,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,57,7.26002114559687,7.26002114559687,3.3738179550699554,0.7091051362326786,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,58,7.41616708703416,7.41616708703416,3.3125723141493095,0.6964576488273475,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,59,7.183252980843083,7.183252980843083,3.2754479686367572,0.7152245116034462,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,60,7.6574828594867785,7.6574828594867785,3.6789029988417177,0.6763822391910512,1731,654
cpx,TabPFN,P_kbar,cpx_liq,raw,61,7.310239453474209,7.310239453474209,3.2568762060593426,0.7050669190137857,1731,654
cpx,TabPFN,T_C,cpx_only,raw,42,128.07101442662665,128.07101442662665,83.35394154762736,0.598695890623127,2113,784
cpx,TabPFN,T_C,cpx_only,raw,43,134.70132987906135,134.70132987906135,84.4584875301439,0.5560687938415626,2113,784
cpx,TabPFN,T_C,cpx_only,raw,44,132.56540464939164,132.56540464939164,84.78775289107342,0.5700357850925292,2113,784
cpx,TabPFN,T_C,cpx_only,raw,45,129.38179434125908,129.38179434125908,82.96202967118244,0.5904393272210224,2113,784
cpx,TabPFN,T_C,cpx_only,raw,46,128.0473036863498,128.0473036863498,82.83122852870396,0.5988444697023283,2113,784
cpx,TabPFN,T_C,cpx_only,raw,47,132.66975249465912,132.66975249465912,84.55493296409139,0.5693586325973102,2113,784
cpx,TabPFN,T_C,cpx_only,raw,48,131.1756354343894,131.1756354343894,83.54228700910296,0.5790037171601736,2113,784
cpx,TabPFN,T_C,cpx_only,raw,49,130.77459212728104,130.77459212728104,84.42847746245715,0.5815740061800025,2113,784
cpx,TabPFN,T_C,cpx_only,raw,50,129.77837144168026,129.77837144168026,82.95570902921716,0.587924733712162,2113,784
cpx,TabPFN,T_C,cpx_only,raw,51,130.3673840503832,130.3673840503832,83.13513580633669,0.584175752672853,2113,784
cpx,TabPFN,T_C,cpx_only,raw,52,130.0353278548783,130.0353278548783,83.72384410001794,0.5862913304601203,2113,784
cpx,TabPFN,T_C,cpx_only,raw,53,132.9785927374602,132.9785927374602,84.57041082576829,0.5673513297153869,2113,784
cpx,TabPFN,T_C,cpx_only,raw,54,131.55954706715235,131.55954706715235,83.14306796326929,0.5765358520841545,2113,784
cpx,TabPFN,T_C,cpx_only,raw,55,130.7852019336648,130.7852019336648,84.69910609965422,0.5815061092163147,2113,784
cpx,TabPFN,T_C,cpx_only,raw,56,134.40836170958696,134.40836170958696,85.07881483739736,0.5579977470104991,2113,784
cpx,TabPFN,T_C,cpx_only,raw,57,129.19539559463325,129.19539559463325,83.36817138049068,0.5916185751092786,2113,784
cpx,TabPFN,T_C,cpx_only,raw,58,134.75298573987834,134.75298573987834,85.62201581682477,0.5557282471582721,2113,784
cpx,TabPFN,T_C,cpx_only,raw,59,130.45322377178687,130.45322377178687,82.45429689057019,0.5836279777957939,2113,784
cpx,TabPFN,T_C,cpx_only,raw,60,129.67065547634934,129.67065547634934,83.51795539077447,0.5886084942491173,2113,784
cpx,TabPFN,T_C,cpx_only,raw,61,136.53575926274075,136.53575926274075,84.12616138068996,0.5438951110503853,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,42,13.32921099345755,13.32921099345755,6.639462573951815,0.5532924591839733,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,43,13.603755827173195,13.603755827173195,6.709628860481325,0.5347010687997871,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,44,13.380011471606736,13.380011471606736,6.653352023814234,0.5498809743576396,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,45,12.572094548226088,12.572094548226088,6.430520551165964,0.6025983413067328,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,46,14.185041893157509,14.185041893157509,6.836169655866071,0.4940872273926783,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,47,13.265267302406333,13.265267302406333,6.652247480987224,0.5575681232449798,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,48,14.162556058556694,14.162556058556694,6.796816154075751,0.49568988103521505,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,49,13.0895044220905,13.0895044220905,6.487115143452459,0.5692147677187684,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,50,13.18656831490885,13.18656831490885,6.668146347642225,0.5628021912214862,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,51,13.937729258497193,13.937729258497193,6.827004652849246,0.5115743685386624,2113,784
cpx,TabPFN,P_kbar,cpx_only,raw,52,13.315879686411993,13.315879686411993,6.73182637153465,0.5541855679093401,2113,784
