track,feature_set,model_name,target,best_rmse_cv,best_trial,n_trials_completed,n_trials_pruned,n_trials_failed,best_params,elapsed_s
opx_liq,alr,XGB,T_C,73.77979458119104,23,50,0,0,"{'n_estimators': 300, 'max_depth': 9, 'learning_rate': 0.044370239327904265, 'subsample': 0.6186102537284777, 'colsample_bytree': 0.8347988374863223, 'reg_alpha': 0.4266519616462753, 'reg_lambda': 0.013001812345396529, 'min_child_weight': 8}",98.6
opx_liq,alr,XGB,P_kbar,5.097027895568163,48,50,0,0,"{'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.05520376279413778, 'subsample': 0.8965368530363559, 'colsample_bytree': 0.9369811632028784, 'reg_alpha': 0.13218554366329102, 'reg_lambda': 1.4140951144310965, 'min_child_weight': 2}",74.0
opx_liq,alr,GB,T_C,76.60083825042855,9,50,0,0,"{'max_iter': 600, 'max_depth': 10, 'learning_rate': 0.01303561122512888, 'min_samples_leaf': 18, 'l2_regularization': 0.00016832027985721928, 'max_leaf_nodes': 29}",328.4
opx_liq,alr,GB,P_kbar,5.373849510538128,35,50,0,0,"{'max_iter': 800, 'max_depth': 3, 'learning_rate': 0.029444696740863748, 'min_samples_leaf': 42, 'l2_regularization': 0.0001642303208889874, 'max_leaf_nodes': 47}",188.6
opx_liq,pwlr,RF,T_C,77.33871297848788,40,50,0,0,"{'n_estimators': 800, 'max_depth': 22, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.6732159423748726}",159.2
opx_liq,pwlr,RF,P_kbar,5.478491945839622,40,50,0,0,"{'n_estimators': 600, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.6214287464725687}",192.2
opx_liq,pwlr,ERT,T_C,77.83569191422718,49,50,0,0,"{'n_estimators': 300, 'max_depth': 29, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 0.94793431026209}",101.2
opx_liq,pwlr,ERT,P_kbar,5.718183175486146,41,50,0,0,"{'n_estimators': 200, 'max_depth': 19, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.9765770522028188}",80.8
opx_liq,pwlr,XGB,T_C,74.63089070094638,43,50,0,0,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.055660389092322814, 'subsample': 0.8352306366245513, 'colsample_bytree': 0.6092767764644771, 'reg_alpha': 0.00020031093636758556, 'reg_lambda': 0.021918881030042102, 'min_child_weight': 9}",128.6
opx_liq,pwlr,XGB,P_kbar,4.7766335921890715,46,50,0,0,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.015441107302807584, 'subsample': 0.7540912918616595, 'colsample_bytree': 0.8998866913681112, 'reg_alpha': 0.9635564343883989, 'reg_lambda': 7.971774745976854, 'min_child_weight': 2}",164.0
opx_liq,pwlr,GB,T_C,75.6349745115635,46,50,0,0,"{'max_iter': 400, 'max_depth': 9, 'learning_rate': 0.01126423210556121, 'min_samples_leaf': 20, 'l2_regularization': 0.006953511542018146, 'max_leaf_nodes': 22}",372.2
opx_liq,pwlr,GB,P_kbar,5.064986762781964,25,50,0,0,"{'max_iter': 800, 'max_depth': 3, 'learning_rate': 0.030143189993220822, 'min_samples_leaf': 14, 'l2_regularization': 0.1305105585202014, 'max_leaf_nodes': 29}",136.2
