pipeline,track,target,model,feature_set,form,regime,pre_rmse_mean,pre_rmse_std,pre_rmse_min,pre_rmse_max,pre_rmse_count,post_rmse_mean,post_rmse_std,post_rmse_min,post_rmse_max,post_rmse_count,delta_rmse_mean,delta_rmse_std,delta_rmse_min,delta_rmse_max,delta_rmse_count
cpx,cpx_liq,T_C,ERT,pwlr,B,deeper_mantle,166.31113723792816,0.8829147409958068,163.83118527310853,168.07347710192488,20,160.9270284749524,1.261862476324511,158.605904259175,163.27088090681934,20,5.384108762975757,1.052713150441148,3.107392858202502,6.901233245101935,20
cpx,cpx_liq,T_C,ERT,pwlr,B,lithospheric_mantle,77.72447555903713,0.4930705078843546,76.71106257953095,78.58359353382721,20,76.03110333028529,0.7258336278572776,74.58858586565769,77.64250235402103,20,1.6933722287518265,0.4310056097651703,0.8658559885998187,2.3621403210583054,20
cpx,cpx_liq,T_C,ERT,pwlr,B,shallow_crustal,44.593712582024324,0.23331623432928345,44.063574299668744,45.012655690148605,20,41.76743142244229,0.3030010249943643,41.17259819239953,42.36810729629427,20,2.82628115958203,0.2724263702580579,2.1510285714050426,3.187554086271305,20
cpx,cpx_only,P_kbar,MLP,alr,A,ALL,13.663503031715866,0.28317268669265294,13.128245887336483,14.167870385783448,20,11.329051270673176,0.19449537866971037,11.054468336058907,11.847667818100991,20,2.3344517610426876,0.31501177223123833,1.4442062421931716,2.6974933126700282,20
cpx,cpx_only,P_kbar,MLP,alr,A,deep_crustal_MASH,4.366409296385099,0.201067744796899,3.986134201900683,4.760184294746883,20,1.740309595674976,0.04170837619580739,1.6747766016122492,1.8329029890917203,20,2.626099700710123,0.2187921428456577,2.226773516551817,3.0517336925610867,20
cpx,cpx_only,P_kbar,MLP,alr,A,deeper_mantle,26.736527416429016,0.5834060221593284,25.908149765289057,27.823391501427782,20,26.060617595163087,0.46641319801072717,25.414400965843555,27.302408063223634,20,0.6759098212659318,0.6181266569578927,-1.0872062520737629,1.7099585926795058,20
cpx,cpx_only,P_kbar,MLP,alr,A,lithospheric_mantle,10.748470324554717,0.5528086902210017,10.057736146727938,12.32641471999436,20,3.922401643657646,0.028473889748012588,3.8807741964623426,3.9868643467176437,20,6.8260686808970705,0.5482399244659308,6.13552941592153,8.411997669001895,20
cpx,cpx_only,P_kbar,MLP,alr,A,shallow_crustal,8.356519483753308,0.3969650954097583,7.692042029668196,9.032463899819763,20,1.1662412305500802,0.0064007518563168496,1.1537178255833884,1.1804436844312949,20,7.190278253203227,0.3972812356680189,6.5259860057846,7.862218845356656,20
cpx,cpx_only,P_kbar,MLP,alr,B,ALL,13.663503031715866,0.28317268669265294,13.128245887336483,14.167870385783448,20,13.513436196787072,0.19633585511236376,13.113160021950188,13.869520972285043,20,0.15006683492879258,0.1357425644535793,-0.031521773117772156,0.5875766552063713,20
cpx,cpx_only,P_kbar,MLP,alr,B,deep_crustal_MASH,4.366409296385099,0.201067744796899,3.986134201900683,4.760184294746883,20,4.337291162211452,0.20523596039033076,3.898771248551811,4.742150014101713,20,0.029118134173647746,0.024917263965342634,0.000288964217048715,0.09464645918537418,20
cpx,cpx_only,P_kbar,MLP,alr,B,deeper_mantle,26.736527416429016,0.5834060221593284,25.908149765289057,27.823391501427782,20,26.84380356178253,0.47572168044997964,26.081772645310114,28.04233897848175,20,-0.10727614535350885,0.21445753459468864,-0.4976376152887987,0.20526499969878742,20
cpx,cpx_only,P_kbar,MLP,alr,B,lithospheric_mantle,10.748470324554717,0.5528086902210017,10.057736146727938,12.32641471999436,20,9.736919379663467,0.4147367936274962,9.118850576111221,10.301978049412819,20,1.0115509448912499,0.38158833213487797,0.5773937957020383,2.372347193934914,20
cpx,cpx_only,P_kbar,MLP,alr,B,shallow_crustal,8.356519483753308,0.3969650954097583,7.692042029668196,9.032463899819763,20,8.471350159112061,0.41951639152463227,7.793653401890289,9.293374424657358,20,-0.1148306753587538,0.1524427256019312,-0.34858399949654384,0.1698890728514133,20
cpx,cpx_only,T_C,ERT,pwlr,A,ALL,127.0219367725089,0.3045535369661719,126.25711072451298,127.51428556778372,20,137.40868076895458,2.3518521293877197,131.8500777969573,141.22617167406028,20,-10.386743996445698,2.3612793128545726,-14.154937652268629,-5.1117627817490074,20
cpx,cpx_only,T_C,ERT,pwlr,A,deep_crustal_MASH,90.95812515519762,0.3116462306723498,90.3614660404003,91.46392996710067,20,92.179525435054,0.2814728428026698,91.56392692516299,92.62337283192888,20,-1.2214002798563939,0.2192858032665039,-1.6370883652770516,-0.9069384853890057,20
cpx,cpx_only,T_C,ERT,pwlr,A,deeper_mantle,188.26443041247597,0.6979006956372987,186.3236867954847,189.01273795631275,20,194.52564715583733,1.0260006238364596,192.79250407725286,196.54919839038814,20,-6.261216743361341,0.9260636758635283,-7.79886372953456,-4.903072546066653,20
cpx,cpx_only,T_C,ERT,pwlr,A,lithospheric_mantle,139.2945152311034,0.6079573533445496,137.99591421967003,140.34518761659982,20,166.26836634266414,7.117283675905068,150.1196191611962,178.8492554892605,20,-26.973851111560784,7.208317277198103,-39.341986872748976,-11.033846086001716,20
cpx,cpx_only,T_C,ERT,pwlr,A,shallow_crustal,89.4144945384127,0.4072471301862999,88.5401651048806,90.00004315651178,20,89.5966002653223,1.2708562551156621,87.46989239011671,91.74154798354442,20,-0.1821057269095924,1.242974078428708,-2.2200768247405165,1.567078240320555,20
cpx,cpx_only,T_C,ERT,pwlr,B,ALL,127.0219367725089,0.3045535369661719,126.25711072451298,127.51428556778372,20,133.51991750495068,2.1379072053836654,129.25914970131356,137.0675253889477,20,-6.497980732441784,2.143749574318191,-9.996291367156047,-2.5208346861052746,20
cpx,cpx_only,T_C,ERT,pwlr,B,deep_crustal_MASH,90.95812515519762,0.3116462306723498,90.3614660404003,91.46392996710067,20,88.94566624886875,0.3738123602719962,88.21387457038871,89.42157080346347,20,2.0124589063288725,0.33654465774090253,1.2116874527336705,2.683592986041944,20
cpx,cpx_only,T_C,ERT,pwlr,B,deeper_mantle,188.26443041247597,0.6979006956372987,186.3236867954847,189.01273795631275,20,212.90728594317594,6.156497017670394,200.35474674171198,222.65569895004435,20,-24.642855530699944,6.024566618474897,-34.29969892409599,-12.377000707717542,20
