pipeline,track,target,model,feature_set,seed,aug_n_copies,aug_rel_noise,pre_rmse_all,post_rmse_a,post_rmse_b,ship_a,ship_b,winner,form_a_overall_delta,form_a_max_regime_degr,form_b_overall_delta,form_b_max_regime_degr,form_b_alpha_L,form_b_alpha_R,form_b_a_L,form_b_a_R,form_b_s_L,form_b_s_R
opx,opx_liq,P_kbar,MLP,raw,60,15,0.03,5.725857343737317,3.2577911172771024,5.9889847243956345,True,False,A,2.468066226460215,-0.8478044739425135,-0.2631273806583172,3.5254545005447575,0.05,0.55,2.4669107632942007,12.37555926050389,0.5573019674845622,0.2562224308121438
opx,opx_liq,P_kbar,MLP,raw,61,15,0.03,5.316649160627147,3.1202872064896896,5.453866054499442,True,False,A,2.1963619541374575,-1.210169081580485,-0.13721689387229485,2.2406149669352953,0.13,0.55,4.9465011548032525,12.086746924105896,0.5191949544808869,0.17849389324926576
opx,opx_liq,T_C,ElasticNet,raw,42,15,0.03,77.08604361246275,77.23424176193691,76.42089736386097,False,False,none,-0.14819814947416887,19.159804831562717,0.6651462486017721,1.7694812235185964,0.05,0.8300000000000001,939.2454519022231,1429.9750656848275,0.45349198391809825,-0.18893605727864937
opx,opx_liq,T_C,ElasticNet,raw,43,15,0.03,77.18827223788848,77.69660305267996,76.60042707324426,False,False,none,-0.5083308147914778,20.728001717294703,0.5878451646442215,1.8352261643728127,0.05,0.87,942.2253549263356,1460.7046191079257,0.45072900741141814,-0.23599103122191226
opx,opx_liq,T_C,ElasticNet,raw,44,15,0.03,77.24636056157284,78.08310630201022,76.54883740076397,False,False,none,-0.8367457404373795,22.38780328137897,0.6975231608088706,1.8107471231419225,0.05,0.8300000000000001,937.1015306808919,1426.7804835038753,0.541505949846512,-0.1920525462948196
opx,opx_liq,T_C,ElasticNet,raw,45,15,0.03,77.1869250150112,78.13372431739839,76.45570945567557,False,False,none,-0.9467993023871912,23.679174276693857,0.7312155593356238,1.935536855834016,0.05,0.8300000000000001,932.2205204035964,1428.4775414130634,0.6223649284977537,-0.20768994265989046
opx,opx_liq,T_C,ElasticNet,raw,46,15,0.03,77.08497887423863,77.16374919672153,76.40357578253743,False,False,none,-0.07877032248289595,19.828975867203148,0.6814030917011991,1.9510580620477498,0.05,0.8300000000000001,941.2796776939888,1429.8386836029115,0.4267915867939267,-0.20386538373986668
opx,opx_liq,T_C,ElasticNet,raw,47,15,0.03,77.41575783671563,77.54223993343628,76.71063661469917,False,False,none,-0.12648209672065036,19.754798360946467,0.7051212220164587,1.8515050693603712,0.05,0.8300000000000001,940.3135171816231,1427.7906240951843,0.4389865921051684,-0.1973476605478383
opx,opx_liq,T_C,ElasticNet,raw,48,15,0.03,77.12147075890722,77.9499888888186,76.49085063871182,False,False,none,-0.8285181299113731,22.675549464633605,0.6306201201954025,2.2239578096466914,0.05,0.87,939.6587303471703,1464.5109812001936,0.43923334596512054,-0.290263015740074
opx,opx_liq,T_C,ElasticNet,raw,49,15,0.03,77.19633259544965,77.83236968137935,76.55170657567012,False,False,none,-0.6360370859297007,21.830775690165197,0.6446260197795226,1.6536321959932536,0.05,0.8300000000000001,941.6114326839206,1422.3157678309994,0.4368014687843628,-0.1691404280634655
