pipeline,track,target,feature_set,family,feature_name,importance_mean,importance_std,rank
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_SiO2_CaO,0.22337393776091616,0.0867886152048204,8
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_SiO2_Na2O,-0.14708143177084593,0.07050177572148421,55
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_SiO2_K2O,-0.031603530539433676,0.08173963707055895,36
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_TiO2_Al2O3,0.1113716855851358,0.07972364925235428,15
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_TiO2_FeO,0.05295409894500054,0.04863636952978618,20
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_TiO2_MgO,0.12455690667156247,0.06033236464485881,11
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_TiO2_CaO,0.002290564313250343,0.07082960252127772,30
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_TiO2_Na2O,-0.10235319647085746,0.03942963248524684,48
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_TiO2_K2O,0.09699431611433482,0.05283519658301978,17
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_Al2O3_FeO,2.7534450107902773,0.5094215987426807,3
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_Al2O3_MgO,9.744111638152635,1.8727101526620018,2
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_Al2O3_CaO,-0.26941555519850124,0.06919651566022869,62
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_Al2O3_Na2O,-0.10811589605762677,0.035916032775931195,50
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_Al2O3_K2O,0.11360184703735925,0.10663430845117786,14
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_FeO_MgO,-0.2950199428785318,0.08429758766381565,64
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_FeO_CaO,0.6500617870014331,0.10415362425237659,5
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_FeO_Na2O,-0.02187908535200478,0.13168652226468058,34
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_FeO_K2O,0.002395874968984657,0.06235082942997437,29
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_MgO_CaO,2.587092374120863,0.6908393908341051,4
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_MgO_Na2O,-0.028876786446256374,0.4836438957174129,35
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_MgO_K2O,0.03794618441111055,0.19368835159151904,22
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_CaO_Na2O,-0.03812698056251094,0.0858660835072561,39
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_CaO_K2O,-0.017766503109206865,0.0750714448559391,33
opx,opx_liq,T_C,pwlr,ERT,pwlr_liq_Na2O_K2O,0.028107150678891912,0.05766491043172008,24
