track,target,model,feature_set,form,seed,regime,n,pre_rmse,pre_lo,pre_hi,post_rmse,post_lo,post_hi,delta_rmse,delta_lo,delta_hi
opx_liq,T_C,ElasticNet,raw,A,43,deep_crustal_MASH,61,78.5108164135565,30.384184309503866,111.69814285959727,77.03522118529624,33.15052342215957,107.90367467608084,1.4755952282602607,-2.825549989338723,3.9047207679025817
opx_liq,T_C,ElasticNet,raw,A,43,lithospheric_mantle,58,93.81796338111398,79.34828043642202,108.73195414791509,93.67206609653468,79.14186603699913,108.78707034229853,0.14589728457930562,-2.7366803460055054,3.5755375417115136
opx_liq,T_C,ElasticNet,raw,A,43,deeper_mantle,8,107.13094471394338,79.85780371999398,131.15451034756697,63.48470724639008,53.47121873927881,72.73605996012971,43.6462374675533,24.32407553856238,60.23467604565519
opx_liq,T_C,ElasticNet,raw,A,43,ALL,174,77.18827223788848,61.9085398243953,92.85213882013909,77.69660305267996,63.98472472308196,92.10442274550618,-0.5083308147914778,-3.7405740521320032,2.691204598506846
opx_liq,T_C,ElasticNet,raw,B,43,shallow_crustal,47,35.242308785695066,27.837198722338016,43.48480586199288,35.242308785695066,27.837198722338016,43.48480586199288,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,43,deep_crustal_MASH,61,78.5108164135565,30.384184309503866,111.69814285959727,78.5108164135565,30.384184309503866,111.69814285959727,0.0,0.0,0.0
opx_liq,T_C,ElasticNet,raw,B,43,lithospheric_mantle,58,93.81796338111398,79.34828043642202,108.73195414791509,95.6531895454868,80.4839088028055,111.43984781148325,-1.8352261643728127,-4.758688022928611,0.04793119851668414
opx_liq,T_C,ElasticNet,raw,B,43,deeper_mantle,8,107.13094471394338,79.85780371999398,131.15451034756697,83.6048205800398,69.91681655688326,96.08116964805217,23.52612413390358,8.093339293503623,36.22493824599334
opx_liq,T_C,ElasticNet,raw,B,43,ALL,174,77.18827223788848,61.9085398243953,92.85213882013909,76.60042707324426,61.73737073306687,92.09954156891968,0.5878451646442215,-0.9632301309911682,2.377853543440148
opx_liq,T_C,ElasticNet,raw,A,44,shallow_crustal,47,35.07790598519219,27.656348732453694,43.36455055496107,57.46570926657116,50.75696316984788,65.92376693947205,-22.38780328137897,-25.489472590411516,-18.521427699229847
opx_liq,T_C,ElasticNet,raw,A,44,deep_crustal_MASH,61,78.54082829294634,30.250564338152728,111.77076803264256,77.27436849254032,33.004444722794084,108.33126359806164,1.2664598004060252,-2.8522229586875545,3.490766206343884
opx_liq,T_C,ElasticNet,raw,A,44,lithospheric_mantle,58,94.00447036306677,79.68103449946182,108.95337432420541,94.07676164286089,79.5484227126892,109.30113512419173,-0.07229127979411487,-3.173543778660409,3.578868825565343
opx_liq,T_C,ElasticNet,raw,A,44,deeper_mantle,8,107.00545084695057,79.73371387316875,131.19682061224367,59.25391872902277,51.07454700599293,67.18764198914418,47.751532117927795,25.39585065270523,67.24777393838282
opx_liq,T_C,ElasticNet,raw,A,44,ALL,174,77.24636056157284,61.92241849091707,92.9339240983592,78.08310630201022,64.10991789816484,92.66916636704109,-0.8367457404373795,-4.26054353298183,2.612323659449361
