sample_id,tectonic_setting,KD_FeMg_opx_cpx,equilibrium_flag,delta_ours_vs_putirka_twopx_eq36,delta_ours_vs_putirka_twopx_eq37,delta_ours_vs_putirka_twopx_eq39,delta_ours_vs_putirka_twopx_eq38,delta_ours_T_vs_putirka_cpxonly_eq32d,delta_ours_P_vs_putirka_opxonly_eq29c
[18984] SCOTT J. M. (2014)|samp. FOU-1,INTRAPLATE VOLCANICS,0.80941301703163,False,120.04231389204313,154.63833429920953,1.0707466722932768,2.570640794768268,-166.18202308709192,7.728780457103278
[18984] SCOTT J. M. (2014)|samp. FOU-2,INTRAPLATE VOLCANICS,0.8680313532422103,False,133.41054415319968,150.29658331042435,2.8139311660774737,2.467226480515613,-153.50397720766068,7.78436878274111
[18984] SCOTT J. M. (2014)|samp. FOU-4,INTRAPLATE VOLCANICS,0.8604837277581124,False,101.95413568983543,117.99272338500589,3.458707916528244,-0.05934403902511853,-167.17837299941152,7.981753608819858
[18984] SCOTT J. M. (2014)|samp. HYD-1,INTRAPLATE VOLCANICS,0.7826917566147674,False,65.78861447613076,115.93152337319361,0.3773251103747768,2.7807517092861413,-182.51355092985614,7.6255284149565545
[18984] SCOTT J. M. (2014)|samp. HYD-10,INTRAPLATE VOLCANICS,0.8328707542859075,False,70.62799727971071,108.7599672900119,-0.8318506482098069,2.7572901775102636,-163.21644816340608,6.598471361347067
[18984] SCOTT J. M. (2014)|samp. HYD-11,INTRAPLATE VOLCANICS,0.7641126966732253,False,104.40675089514923,155.13294757844596,0.2592354739674345,5.0945845340454845,-186.59973802359434,7.488075316348555
[18984] SCOTT J. M. (2014)|samp. HYD-2,INTRAPLATE VOLCANICS,0.7930929885527808,False,89.69136997556723,100.3074015033485,4.8433540805565105,3.623730572056953,-162.2452394038071,7.704879886720939
[18984] SCOTT J. M. (2014)|samp. HYD-3,INTRAPLATE VOLCANICS,0.7698824394203134,False,84.88088767444037,102.39536566006439,1.916701653065143,3.948898019425906,-170.50067301766444,6.59397701023482
[18984] SCOTT J. M. (2014)|samp. HYD-4,INTRAPLATE VOLCANICS,0.7649136238177123,False,87.05698800458367,126.08014216889615,1.2020470261499963,2.0331010813068193,-177.66678249513222,10.492555605854008
[18984] SCOTT J. M. (2014)|samp. HYD-5,INTRAPLATE VOLCANICS,0.787612775854328,False,117.44752639773526,145.9133162683612,4.730921464886984,1.0462058642593473,-164.66437919652458,7.2180998542357955
