strategy,model_name,target,fold,n_test,rmse
LOSO,RF,P_kbar,74,1,3.693111189312406
LOSO,RF,P_kbar,75,1,0.0
LOSO,RF,P_kbar,76,12,3.227486121839514
LOSO,RF,P_kbar,77,6,1.5999764811539365
LOSO,RF,P_kbar,78,1,8.511416657517358
LOSO,RF,P_kbar,79,1,1.8594424706459964
LOSO,RF,P_kbar,80,3,4.898979372010096
LOSO,RF,P_kbar,81,6,7.2498960588531425
LOSO,RF,P_kbar,82,2,6.368324712338705
LOSO,RF,P_kbar,83,10,2.3219949593325486
LOSO,RF,P_kbar,84,1,2.8740000724792
LOSO,RF,P_kbar,85,5,1.7888547662518475
LOSO,RF,P_kbar,86,2,0.9219549543118694
LOSO,RF,P_kbar,87,2,6.4844721432712005
LOSO,RF,P_kbar,88,6,19.592249128199413
LOSO,RF,P_kbar,89,8,5.266188957434031
LOSO,RF,P_kbar,90,8,2.5
LOSO,RF,P_kbar,91,5,11.038019814844999
LOSO,RF,P_kbar,92,4,2.015564355750984
LOSO,ERT,T_C,0,4,197.78874708278155
LOSO,ERT,T_C,1,1,1.381249999999909
LOSO,ERT,T_C,2,4,159.59101822383235
LOSO,ERT,T_C,3,4,47.50042703054671
LOSO,ERT,T_C,4,34,15.78952332924077
LOSO,ERT,T_C,5,3,41.61117407294163
LOSO,ERT,T_C,6,17,64.21128707392262
LOSO,ERT,T_C,7,10,76.46758061653196
LOSO,ERT,T_C,8,23,58.81970608676339
LOSO,ERT,T_C,9,4,59.30441704480972
LOSO,ERT,T_C,10,3,162.7526935545438
LOSO,ERT,T_C,11,4,80.22616684861754
LOSO,ERT,T_C,12,13,76.337472025886
LOSO,ERT,T_C,13,9,13.957280169201756
LOSO,ERT,T_C,14,6,18.984608428985542
LOSO,ERT,T_C,15,1,215.96509971509977
LOSO,ERT,T_C,16,1,48.13919413919416
LOSO,ERT,T_C,17,7,89.06248765632087
LOSO,ERT,T_C,18,4,12.40345818199296
LOSO,ERT,T_C,19,1,93.5
LOSO,ERT,T_C,20,3,24.494019075935398
LOSO,ERT,T_C,21,23,57.50766931373795
LOSO,ERT,T_C,22,12,17.948437696655176
LOSO,ERT,T_C,23,9,78.83611411026706
LOSO,ERT,T_C,24,8,34.32317121678443
LOSO,ERT,T_C,25,9,38.57883655546984
LOSO,ERT,T_C,26,3,44.870873781229086
LOSO,ERT,T_C,27,2,47.92253188741173
LOSO,ERT,T_C,28,3,16.118669124390063
LOSO,ERT,T_C,29,3,64.52172526822316
LOSO,ERT,T_C,30,1,56.25
LOSO,ERT,T_C,31,21,79.7176363455078
LOSO,ERT,T_C,32,7,76.0732214425754
LOSO,ERT,T_C,33,1,310.5833333333335
LOSO,ERT,T_C,34,2,40.4417274940634
LOSO,ERT,T_C,35,7,44.49165841345718
LOSO,ERT,T_C,36,2,14.932247898255424
LOSO,ERT,T_C,37,5,59.860527201459995
LOSO,ERT,T_C,38,3,48.33093936953281
LOSO,ERT,T_C,39,16,46.80780306748582
LOSO,ERT,T_C,40,1,178.33333333333326
LOSO,ERT,T_C,41,2,103.31022927194682
LOSO,ERT,T_C,42,1,45.77380952380963
LOSO,ERT,T_C,43,6,54.03459615367672
LOSO,ERT,T_C,44,17,27.180842087393742
LOSO,ERT,T_C,45,6,28.609965933205313
LOSO,ERT,T_C,46,10,19.57526471952004
LOSO,ERT,T_C,47,1,26.09999999999991
LOSO,ERT,T_C,48,1,40.833333333333485
LOSO,ERT,T_C,49,5,103.87869719128528
LOSO,ERT,T_C,50,5,51.45041567884634
LOSO,ERT,T_C,51,10,76.21678627658122
LOSO,ERT,T_C,52,1,53.59999999999991
LOSO,ERT,T_C,53,7,63.55416606019673
LOSO,ERT,T_C,54,2,30.153326355110025
LOSO,ERT,T_C,55,1,90.0
LOSO,ERT,T_C,56,3,87.05675104625625
LOSO,ERT,T_C,57,3,126.29872086494552
LOSO,ERT,T_C,58,6,39.08287736201666
LOSO,ERT,T_C,59,6,97.87294555726227
LOSO,ERT,T_C,60,19,23.472169172572602
LOSO,ERT,T_C,61,2,33.654705486586735
LOSO,ERT,T_C,62,17,100.63800590462652
LOSO,ERT,T_C,63,3,196.28178921791528
LOSO,ERT,T_C,64,16,94.80744388380849
LOSO,ERT,T_C,65,1,58.23076923076928
LOSO,ERT,T_C,66,3,98.70402980926144
LOSO,ERT,T_C,67,11,76.04718465386227
LOSO,ERT,T_C,68,14,41.24748216949566
LOSO,ERT,T_C,69,1,11.830128205128176
LOSO,ERT,T_C,70,10,27.74831685003987
LOSO,ERT,T_C,71,17,30.43093907532904
LOSO,ERT,T_C,72,5,157.52047676341397
LOSO,ERT,T_C,73,10,77.65128264509592
LOSO,ERT,T_C,74,1,254.44444444444434
LOSO,ERT,T_C,75,1,62.916666666666515
LOSO,ERT,T_C,76,12,24.66002849126712
LOSO,ERT,T_C,77,6,46.74640909750138
LOSO,ERT,T_C,78,1,26.78571428571422
LOSO,ERT,T_C,79,1,56.66666666666674
LOSO,ERT,T_C,80,3,57.813204172110055
LOSO,ERT,T_C,81,6,88.59825762905821
LOSO,ERT,T_C,82,2,68.48635651008937
LOSO,ERT,T_C,83,10,58.74435562798011
LOSO,ERT,T_C,84,1,41.39499999999998
LOSO,ERT,T_C,85,5,79.70453941710505
LOSO,ERT,T_C,86,2,44.77423967802839
LOSO,ERT,T_C,87,2,268.80198786570674
LOSO,ERT,T_C,88,6,101.2634425871396
LOSO,ERT,T_C,89,8,30.974809022518166
LOSO,ERT,T_C,90,8,239.48123290085636
LOSO,ERT,T_C,91,5,140.66514057994766
LOSO,ERT,T_C,92,4,20.093844500382534
LOSO,ERT,P_kbar,0,4,26.564518818631505
LOSO,ERT,P_kbar,1,1,1.3250028132420029e-05
LOSO,ERT,P_kbar,2,4,1.3530956671916345
LOSO,ERT,P_kbar,3,4,3.719531079125739
LOSO,ERT,P_kbar,4,34,8.74528181132337
LOSO,ERT,P_kbar,5,3,1.1547005383792515
LOSO,ERT,P_kbar,6,17,1.599822353236476
LOSO,ERT,P_kbar,7,10,4.724807533353329
LOSO,ERT,P_kbar,8,23,10.98126839784849
LOSO,ERT,P_kbar,9,4,4.353407966579739
LOSO,ERT,P_kbar,10,3,16.525339861596983
LOSO,ERT,P_kbar,11,4,10.013845442435919
LOSO,ERT,P_kbar,12,13,2.9961946252101717
LOSO,ERT,P_kbar,13,9,4.115070369699885
LOSO,ERT,P_kbar,14,6,3.855056007358736
LOSO,ERT,P_kbar,15,1,8.588666639318074
LOSO,ERT,P_kbar,16,1,2.000000476837
LOSO,ERT,P_kbar,17,7,3.0857062570352336
LOSO,ERT,P_kbar,18,4,1.7349186370183154
LOSO,ERT,P_kbar,19,1,8.099999532699762
LOSO,ERT,P_kbar,20,3,4.596793355405419
LOSO,ERT,P_kbar,21,23,4.5276237386346505
LOSO,ERT,P_kbar,22,12,1.434738188519613
LOSO,ERT,P_kbar,23,9,0.9651917036204718
LOSO,ERT,P_kbar,24,8,2.0171164732710434
LOSO,ERT,P_kbar,25,9,2.0288964049757157
LOSO,ERT,P_kbar,26,3,5.726054575738985
LOSO,ERT,P_kbar,27,2,0.0
LOSO,ERT,P_kbar,28,3,8.877511022092063
LOSO,ERT,P_kbar,29,3,1.7566012910501259
LOSO,ERT,P_kbar,30,1,0.0
LOSO,ERT,P_kbar,31,21,2.605179903784286
LOSO,ERT,P_kbar,32,7,0.6886563273626026
LOSO,ERT,P_kbar,33,1,3.099999764561682
LOSO,ERT,P_kbar,34,2,2.0779850722572117
LOSO,ERT,P_kbar,35,7,3.2925831562420615
LOSO,ERT,P_kbar,36,2,1.3343147704269838
LOSO,ERT,P_kbar,37,5,4.630660300053972
LOSO,ERT,P_kbar,38,3,4.362723633600228
LOSO,ERT,P_kbar,39,16,3.5137279415944245
LOSO,ERT,P_kbar,40,1,13.139999508857882
LOSO,ERT,P_kbar,41,2,3.7545172259980824
LOSO,ERT,P_kbar,42,1,1.5500000000000007
LOSO,ERT,P_kbar,43,6,0.7216558693709598
LOSO,ERT,P_kbar,44,17,1.6863613268342497
LOSO,ERT,P_kbar,45,6,2.4715331224074206
LOSO,ERT,P_kbar,46,10,0.7905694150420949
LOSO,ERT,P_kbar,47,1,11.632234958816385
LOSO,ERT,P_kbar,48,1,3.5000001788138757
LOSO,ERT,P_kbar,49,5,9.551783007648094
LOSO,ERT,P_kbar,50,5,2.74750813600729e-07
LOSO,ERT,P_kbar,51,10,7.311883817907575
LOSO,ERT,P_kbar,52,1,10.373999940420662
LOSO,ERT,P_kbar,53,7,2.3488143715065215
LOSO,ERT,P_kbar,54,2,1.5002893206659227
LOSO,ERT,P_kbar,55,1,3.1000002145771006
LOSO,ERT,P_kbar,56,3,6.085962945096436
LOSO,ERT,P_kbar,57,3,6.560212838279942
LOSO,ERT,P_kbar,58,6,5.912641183131216
LOSO,ERT,P_kbar,59,6,6.1273795396037745
LOSO,ERT,P_kbar,60,19,4.365946932430131
LOSO,ERT,P_kbar,61,2,1.6897489918620758
LOSO,ERT,P_kbar,62,17,6.040637297934837
LOSO,ERT,P_kbar,63,3,2.1990484606583633
LOSO,ERT,P_kbar,64,16,3.0037831117268983
LOSO,ERT,P_kbar,65,1,4.630615386150675
LOSO,ERT,P_kbar,66,3,5.497609662753356
LOSO,ERT,P_kbar,67,11,1.9159176713298014
LOSO,ERT,P_kbar,68,14,2.715567428171115
LOSO,ERT,P_kbar,69,1,22.984727325108636
LOSO,ERT,P_kbar,70,10,0.5597013399417703
LOSO,ERT,P_kbar,71,17,5.639361180042784
LOSO,ERT,P_kbar,72,5,9.487083542894903
LOSO,ERT,P_kbar,73,10,4.089230578332938
LOSO,ERT,P_kbar,74,1,4.374834221472027
LOSO,ERT,P_kbar,75,1,5.0
LOSO,ERT,P_kbar,76,12,2.6886951482706642
LOSO,ERT,P_kbar,77,6,2.171238137276873
LOSO,ERT,P_kbar,78,1,8.942800015211118
LOSO,ERT,P_kbar,79,1,2.0000003661426966
LOSO,ERT,P_kbar,80,3,1.6329935353902674
LOSO,ERT,P_kbar,81,6,5.172127601782512
LOSO,ERT,P_kbar,82,2,8.439326123513522
LOSO,ERT,P_kbar,83,10,2.8178907928141412
LOSO,ERT,P_kbar,84,1,0.11975001598202617
LOSO,ERT,P_kbar,85,5,1.7888547883422594
LOSO,ERT,P_kbar,86,2,5.369801590173934
LOSO,ERT,P_kbar,87,2,5.258365278369731
LOSO,ERT,P_kbar,88,6,16.325504079351223
LOSO,ERT,P_kbar,89,8,4.78809350511723
LOSO,ERT,P_kbar,90,8,2.5
LOSO,ERT,P_kbar,91,5,10.929340155518116
LOSO,ERT,P_kbar,92,4,1.1029081554618025
LOSO,XGB,T_C,0,4,162.01216053206332
LOSO,XGB,T_C,1,1,12.4388427734375
LOSO,XGB,T_C,2,4,163.932259439167
LOSO,XGB,T_C,3,4,71.11778745767604
LOSO,XGB,T_C,4,34,31.333090736297542
LOSO,XGB,T_C,5,3,20.097739349430697
LOSO,XGB,T_C,6,17,49.54504705344677
LOSO,XGB,T_C,7,10,65.73659493421418
LOSO,XGB,T_C,8,23,81.75143325431182
LOSO,XGB,T_C,9,4,42.609201283548316
LOSO,XGB,T_C,10,3,150.73248877842354
LOSO,XGB,T_C,11,4,86.97803351552398
LOSO,XGB,T_C,12,13,85.04826919347204
LOSO,XGB,T_C,13,9,25.788785499250498
LOSO,XGB,T_C,14,6,25.552682118337007
LOSO,XGB,T_C,15,1,221.50634765625
LOSO,XGB,T_C,16,1,73.114990234375
LOSO,XGB,T_C,17,7,87.97820929416835
LOSO,XGB,T_C,18,4,12.19084050082905
LOSO,XGB,T_C,19,1,2.9130859375
LOSO,XGB,T_C,20,3,41.13683960946029
LOSO,XGB,T_C,21,23,48.17733593261667
LOSO,XGB,T_C,22,12,25.468053352544416
LOSO,XGB,T_C,23,9,85.16204444360325
LOSO,XGB,T_C,24,8,28.38612269339013
LOSO,XGB,T_C,25,9,38.32139588277486
LOSO,XGB,T_C,26,3,43.7525722715915
LOSO,XGB,T_C,27,2,60.02885601340422
LOSO,XGB,T_C,28,3,34.12590203982318
LOSO,XGB,T_C,29,3,60.70254119623408
LOSO,XGB,T_C,30,1,73.8760986328125
LOSO,XGB,T_C,31,21,64.88433158452646
LOSO,XGB,T_C,32,7,56.71980347060834
LOSO,XGB,T_C,33,1,319.3675537109375
LOSO,XGB,T_C,34,2,46.1634317198183
LOSO,XGB,T_C,35,7,39.775655126513385
LOSO,XGB,T_C,36,2,22.438877043699108
LOSO,XGB,T_C,37,5,60.460146022426514
LOSO,XGB,T_C,38,3,90.40470198924469
LOSO,XGB,T_C,39,16,55.2704267217899
LOSO,XGB,T_C,40,1,169.22509765625
LOSO,XGB,T_C,41,2,127.61682953204884
LOSO,XGB,T_C,42,1,63.2496337890625
LOSO,XGB,T_C,43,6,43.62270442360538
LOSO,XGB,T_C,44,17,28.212033366041954
LOSO,XGB,T_C,45,6,28.241317077183645
LOSO,XGB,T_C,46,10,48.92790505692133
LOSO,XGB,T_C,47,1,16.69580078125
LOSO,XGB,T_C,48,1,9.1856689453125
LOSO,XGB,T_C,49,5,92.24353368299764
