track,model,repr,target,n_aug,seed,rmse_test,rmse_train,r2_test,overfit_ratio
opx_liq,RF,alr,P_kbar,3,42,8.728490975150628,2.114056663579298e-08,0.17992282384735803,2.422018501935629e-09
opx_liq,XGB,alr,P_kbar,3,42,7.992834215225553,0.045786211302068905,0.3123332897407557,0.005728407479646047
opx_liq,RF,alr,T_C,5,42,95.54483661696757,0.0,0.5255776312273593,0.0
opx_liq,XGB,alr,T_C,5,42,93.59557782960856,1.9810635336635982,0.5447380303046405,0.02116620869919879
opx_liq,RF,alr,P_kbar,5,42,8.957563611509155,2.075102146202789e-08,0.13631337822407275,2.3165921406760508e-09
opx_liq,XGB,alr,P_kbar,5,42,7.1383486494098385,0.08772853183549295,0.4515059732826844,0.012289751614015923
opx_liq,RF,alr,T_C,10,42,98.03628836176796,0.0,0.5005127181532734,0.0
opx_liq,XGB,alr,T_C,10,42,92.36531860602419,3.4182463651414428,0.5566276776723982,0.037007898816672304
opx_liq,RF,alr,P_kbar,10,42,9.221786740327708,2.2850092915821842e-08,0.08460920700746444,2.4778379243901094e-09
opx_liq,XGB,alr,P_kbar,10,42,7.6501527969576735,0.16087764796732032,0.37003472701303175,0.02102933787561713
opx_liq,RF,alr,T_C,15,42,99.78099102337922,1.5317530437170363e-14,0.482576273505841,1.5351150835514736e-16
opx_liq,XGB,alr,T_C,15,42,93.87226015215029,4.463797324000104,0.5420424088966208,0.04755182539298702
opx_liq,RF,alr,P_kbar,15,42,9.055173560635248,2.295364341723906e-08,0.11738775502417476,2.534865098226653e-09
opx_liq,XGB,alr,P_kbar,15,42,7.228832565349735,0.18718119908433464,0.43751269896716505,0.025893696857990336
opx_liq,RF,pwlr,T_C,1,42,84.94512159317266,0.0,0.6250031686288473,0.0
opx_liq,XGB,pwlr,T_C,1,42,91.81371282232146,0.06990576686931319,0.5619075048759032,0.0007613869946049923
opx_liq,RF,pwlr,P_kbar,1,42,5.496372960498593,1.9395540079481998e-08,0.6748162915605407,3.5287889338795103e-09
opx_liq,XGB,pwlr,P_kbar,1,42,5.484255551208535,0.0022856432535973545,0.6762485235414205,0.00041676454210702856
opx_liq,RF,pwlr,T_C,3,42,89.46163338666561,0.0,0.5840660601637933,0.0
opx_liq,XGB,pwlr,T_C,3,42,93.01793601774128,0.8486887070649206,0.5503401505377121,0.009123925378252325
opx_liq,RF,pwlr,P_kbar,3,42,4.860859543288368,1.8050635646011032e-08,0.7456671049134846,3.7134657945289632e-09
opx_liq,XGB,pwlr,P_kbar,3,42,5.675675493639821,0.03383831831452237,0.6532539646357058,0.0059619896085394055
opx_liq,RF,pwlr,T_C,5,42,90.67401066257044,0.0,0.5727162614985362,0.0
opx_liq,XGB,pwlr,T_C,5,42,95.93720559910071,1.411400884026068,0.5216730592600014,0.014711715597846202
opx_liq,RF,pwlr,P_kbar,5,42,5.722932099945389,1.625154387548265e-08,0.6474557975863613,2.8397233431509222e-09
opx_liq,XGB,pwlr,P_kbar,5,42,5.823839996401192,0.07839683139621641,0.6349139321290755,0.013461364227839582
opx_liq,RF,pwlr,T_C,10,42,92.19414018318037,0.0,0.5582695373683568,0.0
opx_liq,XGB,pwlr,T_C,10,42,94.16729699024589,2.809159089669811,0.5391591995435554,0.029831578259709328
opx_liq,RF,pwlr,P_kbar,10,42,5.455068557179913,1.6139434774270186e-08,0.6796853392889679,2.9586126379709025e-09
opx_liq,XGB,pwlr,P_kbar,10,42,5.758927742897213,0.13170773796980448,0.6430070417869429,0.022870184147083028
opx_liq,RF,pwlr,T_C,15,42,94.723530746717,1.1016290571012843e-14,0.5336988691132791,1.1629940822697484e-16
opx_liq,XGB,pwlr,T_C,15,42,92.7336611091889,3.7134181529061356,0.553084388693559,0.040043907557297725
opx_liq,RF,pwlr,P_kbar,15,42,5.639517336701702,1.6282959440340455e-08,0.6576579375121228,2.887296636960712e-09
opx_liq,XGB,pwlr,P_kbar,15,42,5.6079246919526975,0.16319946981575686,0.6614828027487543,0.029101580135329933
opx_liq,RF,raw,T_C,1,43,91.38529186181552,0.0,0.7855638659461488,0.0
opx_liq,XGB,raw,T_C,1,43,85.90599063581779,0.12713974554023544,0.8105073962940221,0.0014799869554990683
opx_liq,RF,raw,P_kbar,1,43,4.409731381676728,1.9424232977823414e-08,0.8158402334152925,4.404856281844013e-09
opx_liq,XGB,raw,P_kbar,1,43,4.927005055628793,0.006997047424478122,0.7701013076117347,0.0014201421239632046
opx_liq,RF,raw,T_C,3,43,91.62425382872233,0.0,0.784440948343538,0.0
opx_liq,XGB,raw,T_C,3,43,89.02267471616729,1.2920928537133782,0.7965083281406431,0.01451419941978808
opx_liq,RF,raw,P_kbar,3,43,5.246827038299816,1.5242782724831652e-08,0.7392862231494843,2.9051429775681967e-09
opx_liq,XGB,raw,P_kbar,3,43,5.002747292043149,0.07898512770531012,0.7629785686778,0.015788350499121886
opx_liq,RF,raw,T_C,5,43,86.61448837513544,0.0,0.8073688792843499,0.0
opx_liq,XGB,raw,T_C,5,43,89.00841077156026,2.1412962474656907,0.7965735331326502,0.024057234916386935
opx_liq,RF,raw,P_kbar,5,43,5.582912986960028,1.773139992662393e-08,0.7048164145377482,3.176012230181456e-09
opx_liq,XGB,raw,P_kbar,5,43,5.124043541046998,0.12434480028363797,0.7513456231109469,0.024266928898545335
opx_liq,RF,raw,T_C,10,43,96.0186169490617,0.0,0.7632683883346426,0.0
opx_liq,XGB,raw,T_C,10,43,98.97436292070675,3.7317345640667132,0.7484694198568951,0.03770405238229611
opx_liq,RF,raw,P_kbar,10,43,6.374498791911172,2.5494751164218358e-08,0.6151756259815819,3.999491096707016e-09
opx_liq,XGB,raw,P_kbar,10,43,5.3892596251593226,0.2248902864098854,0.7249392027888824,0.04172934726692388
opx_liq,RF,raw,T_C,15,43,96.12931313486024,5.870763055717387e-15,0.7627222360812991,6.107151777399333e-17
opx_liq,XGB,raw,T_C,15,43,93.33882373531983,4.362456086782283,0.7762979264506285,0.04673785154131431
opx_liq,RF,raw,P_kbar,15,43,6.283213777408973,2.6864353726263008e-08,0.6261183438894764,4.2755753151122515e-09
opx_liq,XGB,raw,P_kbar,15,43,4.7972148644984705,0.287881055570422,0.7820540381645849,0.060010039929808065
opx_liq,RF,alr,T_C,1,43,89.74945152044063,0.0,0.7931721730947991,0.0
opx_liq,XGB,alr,T_C,1,43,98.48075776556891,0.20321581780558626,0.7509720314397621,0.002063507860990841
opx_liq,RF,alr,P_kbar,1,43,6.502505569966362,1.7339000710619973e-08,0.5995650727492408,2.6665107048435283e-09
opx_liq,XGB,alr,P_kbar,1,43,5.979045453930096,0.009163860598809507,0.6614411308863847,0.0015326628087073656
opx_liq,RF,alr,T_C,3,43,86.65865240024564,0.0,0.807172387110112,0.0
opx_liq,XGB,alr,T_C,3,43,94.40503173785856,1.1903317964904228,0.7711580458242957,0.012608774919918518
opx_liq,RF,alr,P_kbar,3,43,6.564668867548927,1.5241559371340832e-08,0.5918722412766511,2.321756006107834e-09
opx_liq,XGB,alr,P_kbar,3,43,5.214065466544553,0.0696111050196357,0.7425318901036639,0.01335063885681668
opx_liq,RF,alr,T_C,5,43,87.90362203492921,0.0,0.8015921260955063,0.0
opx_liq,XGB,alr,T_C,5,43,91.09411034537037,2.9319952925873487,0.786928207213845,0.03218644192770647
opx_liq,RF,alr,P_kbar,5,43,6.154040631013608,1.8383703712085325e-08,0.6413331787024261,2.987257448291728e-09
opx_liq,XGB,alr,P_kbar,5,43,5.6899270924173475,0.10865449278347222,0.6933917131697682,0.019095937613729724
opx_liq,RF,alr,T_C,10,43,92.9853544299105,0.0,0.7779890147449686,0.0
opx_liq,XGB,alr,T_C,10,43,91.14216831437646,3.9943730191693065,0.7867033299160919,0.04382574052212062
opx_liq,RF,alr,P_kbar,10,43,6.28967013323672,2.057830260787925e-08,0.6253495802246949,3.2717618208841536e-09
