obs_T_C,obs_P_kbar,putirka_pred_T_C,putirka_pred_P_kbar,ml_pred_T_C,ml_pred_P_kbar
1360.0,12.0,,,1226.7554087402882,12.373336071731242
1430.0,25.0,,,1400.5931949716946,20.652003981839027
1360.0,12.0,,,1288.9483652007073,13.127266625975723
1360.0,12.0,,,1305.2079072160761,13.840479763349933
1265.0,8.0,,,1230.389259953208,11.97783998122003
1310.0,12.0,,,1243.186450594757,11.887195086252301
1350.0,16.0,,,1277.588747318994,12.806441231671258
1310.0,12.0,,,1293.6641844400906,12.027145775084486
1410.0,17.999999523162998,1381.140048713125,17.7679816300681,1384.8675798398021,15.035045616077737
1400.0,17.999999523162998,1385.2157190011603,17.685015808379532,1397.3080171367153,15.307248496850141
1360.0,20.0,1359.6869304274346,17.109289566008,1340.1383776519585,16.73786218458365
1340.0,20.0,1335.0238148203248,18.14522293663176,1345.4898654940262,17.52592346269876
1400.0,20.0,1371.992151346648,17.424615884472697,1340.2208414585234,13.782621907319196
1380.0,20.0,1334.3430191033858,17.959902040669114,1337.9654234344944,18.78136567422968
1420.0,20.0,1389.0091329902184,17.096158299218036,1385.3384162805194,14.993625192142586
1360.0,16.000000238419002,1330.1700948542893,14.279734652990857,1306.3764574973204,11.477179766464214
1400.0,16.000000238419002,1289.5873298715014,18.430400834500645,1332.8929187852475,14.751029394345572
1360.0,12.0,,,1350.6704168828867,15.564783667416108
1360.0,12.0,,,1297.310722627517,13.108059558481903
1360.0,12.0,,,1264.2709371136293,13.240495532575657
1360.0,12.0,,,1288.96210742069,13.017260676958584
1250.0,8.9999997615814,1278.9533782960689,6.328111185948302,1225.9926704898762,5.812603069872585
1270.0,8.9999997615814,1302.269697096663,7.211076175350739,1246.8963057923313,8.872946580466488
1295.0,12.999999523163,1286.6060957566883,14.967342904570605,1283.359994226874,14.408491346256074
1225.0,8.9999997615814,1265.9425254129724,6.856904518490707,1216.064107417772,7.160261396956214
1330.0,16.000000238419002,1351.22405288058,14.914217818746602,1342.0187371855163,14.747571301679697
1260.0,11.000000238419002,1278.95477205235,11.881132892984269,1233.2029008465565,12.519520928539876
1350.0,16.000000238419002,1361.4876221292539,15.952959138507744,1328.962710579062,14.182726628890926
1345.0,16.000000238419002,1352.017050546699,15.593570271664072,1353.3540248698052,14.826675035357022
1285.0,12.999999523163,1306.0776369733908,13.036954020781804,1251.3468541034313,12.236188456769268
1340.0,16.000000238419002,1326.7699933464892,16.266150822526896,1333.0768811364733,15.989125317963126
1250.0,8.9999997615814,1248.583399624914,,1198.476198704252,8.07700900295487
1480.0,24.000000953674,1444.6702713831687,,1325.052016836736,16.580655565802893
1500.0,24.000000953674,1464.92342230241,,1356.809976356077,20.018009034256533
1245.0,13.0,1288.7840008279636,14.79554796723216,1333.8122246564196,15.833101059841438
1473.0,15.0,1458.6733153987711,,1340.435203563903,3.2018600872596523
1495.0,20.0,1445.1190425016034,,1282.809380988485,3.9516705893593307
1395.0,15.0,1335.5102637647587,,1236.961067487515,5.217466318154191
1370.0,10.0,1354.0227335287223,8.691461624286992,1363.5821311576674,9.81806496198076
1349.0,10.0,1339.2123542141267,,1357.8526607893264,10.096745305158358
1411.0,10.0,1401.58181577899,,1364.017163715896,9.752304899449218
1344.0,10.0,1347.4994956149153,,1341.6595189411025,9.785709771003477
1381.0,10.0,1352.243077346675,,1353.4559898655114,9.101916481819218
1325.0,10.0,1322.0430321687168,,1316.8310674963554,9.69083135492137
1363.0,10.0,1352.8277591380997,9.870653798754407,1336.3436438505698,12.975682249424533
1349.0,10.0,1341.1257096286436,,1320.8882780265183,12.465719293150137
1371.0,10.0,1363.258443287922,,1338.6071020392153,15.572656922009541
1355.0,10.0,1340.8785145345855,10.00615225082884,1342.6663285442357,13.684308232324042
1600.0,30.0,1612.4699143515222,21.075361998019936,1502.3082579644024,26.054708664698218
1560.0,30.0,1581.972548300651,21.640140186424556,1496.1759100033355,25.830500055537076
1530.0,30.0,1535.6973245894296,21.214396442815623,1431.9484409095999,25.305750006547022
