index,T_mean,T_sigma,P_mean,P_sigma
457,1334.9929419642856,15.07060161919727,10.0,0.0
458,1359.1746704545453,10.587069450359563,10.0,0.0
460,1305.7120783429532,16.193257281155777,10.0,0.0
462,1348.628337484275,17.143801202549906,11.257935096133336,1.632161594600592
473,1300.0047121362431,9.05357093534713,12.338297636948644,2.0697106773880813
474,1341.6401868016244,8.46565648171089,14.449127863123872,1.3076574878783334
479,1345.397233211233,18.668688840442105,12.73913101855895,2.0539254653064307
497,1510.5444890873018,8.200261222120645,21.47775025367736,1.221317980847399
498,1504.5704987373738,15.289154608975517,21.047000026702882,0.25843962069362597
499,1437.5911302863803,39.73139818017704,21.03125004172325,0.3081979758264338
500,1492.885133387446,26.77312298027269,24.582499960343068,1.6626614805194282
501,1457.7203954032082,26.972205629076353,23.54200001259194,2.1221240491282307
502,1384.9113088023087,3.234274745895891,10.0,0.0
503,1359.0241860986237,7.519211380560966,10.0,0.0
504,1067.4234129717504,22.70497487387278,10.901749897859814,0.5253183132543227
505,1091.7297566045067,18.2673362999168,10.0,0.0
506,1132.243015775186,13.114301497854834,11.588249848857151,0.5101710634740353
507,1019.2828717532467,8.674244470948395,9.794311130852176,0.29502272452224493
508,1147.3573585580523,18.595035068072,9.990698334188064,0.07187945417102441
509,972.6369841269842,6.654078980064801,1.688172540813657,0.22612673899393593
510,1138.436091529931,18.77027137793806,9.948913893949324,0.17048590686171947
511,1110.1405632017784,5.961656917141414,8.746395078716835,0.7842324559216347
512,1046.2422601044789,16.735716902456613,9.315422317004344,0.46669718645334446
513,1188.1345976573402,11.902124230573627,9.923663894485767,0.26483114014143994
515,1430.7643691378064,31.866557449690205,26.987749636173376,2.3612203487955057
517,1421.1132157194654,26.341303316318022,27.560999556780015,1.7597666201650455
518,1476.179207493895,26.216727710668092,27.982499529500256,0.2468678124892315
520,1261.8207799122174,9.617750554478762,11.363254936802713,1.4028752342090167
521,1209.0900757248467,10.652252007473852,12.000000456975052,1.858764830213275e-08
522,1295.3310331358455,13.874721452100413,14.90187545454602,1.3678403780299542
523,1405.302028221778,14.639562768847439,15.770250002980228,2.0032417206320994
524,1324.0226260475633,12.632856226375964,15.853125469076573,0.6034324209664398
525,1356.316710793836,7.117751651619857,15.960000155513763,0.1959592111667701
526,1378.787633225571,12.638277883826424,18.17375001356005,2.7018555209911805
527,1323.4067503330004,6.742426809096218,10.0,0.0
528,1409.7829171037295,15.639825471893108,16.27749999387561,2.0546882267203705
529,1435.1263181610057,22.77076199353953,24.373749802545827,3.7207186154365126
530,1390.4607585955712,7.6631532371029625,19.39500000189245,1.5681119110868809
531,1385.0899653957156,14.935913309285475,18.70749994700433,2.865430661679685
532,1416.655571040071,18.555440411183916,15.272500003382566,1.1606005932255696
533,1455.5648369893993,27.914107496357232,24.771499787404785,3.6205401750390935
534,1322.7290573593073,7.998559612486905,6.290157572826864,4.321797799497831
535,1323.1942858946609,7.347914309328529,6.998957506380973,4.15696222684368
536,1299.119471183186,15.240843156997277,0.9700853446709516,1.4708910828941808
