index,iso_score,iso_inlier,T_pred,P_pred
251,-0.48176725638685614,1,969.0833333333333,7.659611106178159
252,-0.44451993366107545,1,1048.6190476190477,10.0
253,-0.4532616801759205,1,1002.7083333333333,3.0070000886917
254,-0.4685116477900487,1,994.2727272727273,3.0000001192093
255,-0.474502545551888,1,987.5,1.5520000457764
256,-0.4465647099955121,1,1040.7932900432902,10.0
257,-0.4549788444408376,1,1031.3886363636364,10.0
258,-0.4596433282156595,1,1027.8125,10.0
259,-0.4593268116953749,1,1017.5097402597403,10.0
260,-0.44650991790644834,1,1133.480476190476,12.0000004493875
261,-0.4476415682047297,1,1112.8035714285716,10.0
262,-0.4301205852417757,1,1192.125,12.000000476837
263,-0.43265009884450595,1,1184.845238095238,10.0
264,-0.436379758919718,1,1180.0,10.0
265,-0.49153361065820217,1,1060.2727272727275,11.000000238418501
266,-0.5001843739317049,1,1126.9020833333334,10.0
267,-0.4346294661747347,1,1190.1666666666665,10.000333333324912
268,-0.49092199756552335,1,1185.5857142857144,12.000000476837
269,-0.4388409289010278,1,1142.9875,12.000000476836998
270,-0.45748175001117486,1,1114.8025,12.000000476837
271,-0.47763221483252233,1,1201.6666666666667,7.022909071941695
272,-0.4782962569213139,1,1193.1076923076926,7.022909071941695
273,-0.4848524230395746,1,1184.4896214896216,6.469000022348593
274,-0.4822306419629164,1,1131.1380555555556,7.022909071941695
275,-0.5063634404202993,1,1117.6861111111111,11.499999761580998
276,-0.5225945633337366,1,1074.8611111111113,10.0
277,-0.4838202258496561,1,1143.2857142857142,9.275884610137489
278,-0.4715349208110209,1,1145.9375,9.693111129707756
279,-0.47930565911459255,1,1076.2,9.3000000715256
280,-0.47350365953799706,1,1141.9926739926739,9.846555564853878
281,-0.5046806601259437,1,1022.25,9.3000000715256
282,-0.48160807868877736,1,1118.206746031746,7.022909071941695
283,-0.47878287789960056,1,1133.9256868131868,7.768027781629389
284,-0.47746554063700114,1,1029.1359126984125,7.011454476366198
285,-0.4855183883883731,1,1061.067857142857,6.999999880790701
286,-0.48476508026453574,1,1113.3333333333333,7.011454476366198
287,-0.4682360871290132,1,1142.4416666666666,4.8249998688698
288,-0.49517049521459194,1,1034.8333333333335,2.9670000076294
289,-0.48925620508811946,1,1016.6666666666666,7.261704535964531
290,-0.5263714214304409,1,945.5,2.1170000731945
291,-0.5226149341073973,1,946.1666666666666,2.0000000298022997
292,-0.5570602970127748,0,935.325,1.9799999892712
293,-0.5383697354809536,1,945.9,2.5
294,-0.5310195254627957,1,903.3333333333334,2.5
295,-0.5357651914628833,1,920.1136363636364,2.0000000298022997
296,-0.5390519557182363,1,920.1136363636364,2.0000000298022997
297,-0.5374001491815509,1,965.3958333333333,2.5
298,-0.5220844022627857,1,928.8571428571429,2.0000000298022997
299,-0.5239962218874671,1,928.1746031746031,2.1170000731945
300,-0.5262636961679591,1,911.3392857142858,2.1259999275208
301,-0.5304131610293966,1,900.0,2.0000000298022997
302,-0.5398791099383881,1,907.5,3.9984999597072504
303,-0.5435598254874265,0,900.0,2.9199999570847
304,-0.533781767488251,1,980.7638888888889,2.0000000298022997
305,-0.5486339386192263,0,900.0,2.0000000298022997
306,-0.5397781040509984,1,934.1666666666667,2.0000000298022997
307,-0.5433772350704351,1,945.625,2.0000000298022997
308,-0.5477091598104634,0,947.375,2.0000000298022997
309,-0.5319753615036927,1,944.4920634920635,2.9199999570847
310,-0.5336853541812125,1,945.0,5.0
311,-0.478440978311747,1,1050.0,5.0
312,-0.4871949104715138,1,1085.9444444444443,6.469000022348593
313,-0.5064777024952527,1,981.25,9.693111129707756
314,-0.5150050047471182,1,962.5,10.0
315,-0.5349546875045152,1,1094.8468013468014,9.693111129707756
316,-0.529993374837515,1,922.25,9.03053319753992
317,-0.517646076334883,1,1023.5391414141416,10.399999991059305
318,-0.5241034973298696,1,900.0,10.0
319,-0.5179283004165096,1,900.0,9.693111129707756
320,-0.5284496738810656,1,892.8571428571429,9.275884610137489
321,-0.5250278841511073,1,1055.736111111111,10.0
322,-0.513972618190136,1,920.7291666666667,9.3000000715256
323,-0.5310602041577545,1,895.0,7.022909071941695
324,-0.5516015475988783,0,897.3333333333334,3.125
325,-0.5618809565197362,0,895.0,9.693111129707756
326,-0.4907093345320242,1,991.1333333333333,10.0
327,-0.5176888304498161,1,1016.8888888888889,9.763674619574395
328,-0.5091275942648725,1,900.0,9.3000000715256
329,-0.5184184300313884,1,900.0,10.0
330,-0.5241556936529086,1,900.0,9.693111129707756
331,-0.5132573449305122,1,1001.3055555555555,7.022909071941695
332,-0.5347509732468125,1,900.0,2.1259999275208
333,-0.534694009683616,1,912.5,2.0000000298022997
334,-0.5355857226376495,1,897.0,2.1259999275208
335,-0.5376366855367979,1,896.0,2.1259999275208
336,-0.5349373400216322,1,894.0,2.1259999275208
337,-0.5396941809634569,1,892.8285714285714,2.1170000731945
338,-0.529149301401007,1,941.1805555555555,2.1299999952316
339,-0.5350062448660687,1,906.25,2.0000000298022997
340,-0.538660038780657,1,905.0,2.0000000298022997
341,-0.5350779817048803,1,900.0,2.1170000731945
342,-0.5247828382749102,1,900.0,2.0000000298022997
343,-0.5232830676229945,1,900.0,1.9799999892712
344,-0.5198898531232334,1,920.530303030303,2.0000000298022997
345,-0.5460401344122611,0,910.0,3.0070000886917
346,-0.5552243147880587,0,908.6607142857142,6.999999880790701
347,-0.543105849802251,1,926.9444444444445,3.125
348,-0.5366787313067726,1,900.0,5.0
349,-0.5449601830794775,0,900.0,2.5
350,-0.5313366611912679,1,902.5,3.06250005960465
351,-0.5352065505336531,1,900.0,2.5
352,-0.5390009943913052,1,901.2980769230769,2.0000000298022997
353,-0.5363608973493805,1,905.4563492063492,2.1170000731945
354,-0.5262263169373733,1,901.3392857142858,2.0000000298022997
355,-0.5281160259943976,1,900.0,1.9799999892712
356,-0.5210171535007777,1,931.1607142857142,2.0000000298022997
357,-0.5298344870497131,1,915.0,2.0000000298022997
358,-0.5285845958005039,1,917.3214285714286,2.1299999952316
359,-0.48990133951017933,1,968.75,10.0
360,-0.4112103286091579,1,1258.888888888889,11.749999880790499
361,-0.44413126317719653,1,1218.0339743589743,15.0
362,-0.4934173494634262,1,1048.7083333333335,15.0
363,-0.5004197421601637,1,1043.2635281385283,12.000000476837
364,-0.4978322484570353,1,1036.949350649351,12.000000476837
365,-0.49299895332739974,1,969.3333333333333,10.0
366,-0.6214316429651536,0,1004.5,10.0
367,-0.4927252518957136,1,953.1180555555555,10.399999991059305
368,-0.5021473391618904,1,1030.7250000000001,15.0
369,-0.5068996041251522,1,1031.7636363636364,15.0
370,-0.5162662253712811,1,1033.5795454545455,15.0
371,-0.422185158461047,1,1300.25,15.0
372,-0.42588854217368377,1,1194.196581196581,12.000000476837
373,-0.5033799145142042,1,1014.1666666666666,12.000000476836998
374,-0.5075654683218291,1,1000.0,11.499999761580998
375,-0.4913833202995352,1,965.3857142857144,7.87644445708062
376,-0.4361381758705602,1,1094.3851010101012,10.0
377,-0.4414943132808144,1,1046.25,10.0
378,-0.4727537225104295,1,985.7857142857142,10.0
379,-0.48490893993465406,1,968.1931818181818,7.87644445708062
380,-0.49616010194598203,1,952.9513888888889,7.659611106178159
381,-0.47315200368583005,1,990.5625,10.0
382,-0.4422736687616413,1,1055.3068181818182,7.659611106178159
383,-0.43979382600671646,1,1052.5,10.0
