Experiment,Citation,DOI,T_C,P_kbar,SiO2,TiO2,Al2O3,Cr2O3,FeO_total,MnO,MgO,CaO,Na2O,cat_Si,cat_Ti,cat_Al,cat_Cr,cat_Fe,cat_Mn,cat_Mg,cat_Ca,cat_Na,Mg_num,Al_IV,Al_VI,En_frac,Fs_frac,Wo_frac,MgTs,oxide_total,cation_sum,Device,Rock type
G-15a,"Gardner, J.E., Rutherford, M., Carey, S., Sigurdsson, H. (1995) Experimental constraints on pre-eruptive water contents and changing magma storage prior to explosive eruptions of Mount St Helens volcano. Bulletin of Volcanology 57 1-17",,850.0,2.5,52.020000457764,0.15000000596046,1.3999999761581,0.0099999997764826,24.139999389648,0.69999998807907,20.930000305176,0.97000002861023,0.029999999329448,1.9531397351026167,0.004236928583837954,0.061950631672237806,0.0002968498078970213,0.7579988589048806,0.022261120275502276,1.1715015991747126,0.039021932790857784,0.002183878521867177,0.6071527966055488,0.046860264897383264,0.015090366774854543,0.5951172334172394,0.3850598105565387,0.01982295602622171,0.046860264897383264,100.35000015050178,4.01259153483441,CSPV,
G-16a,"Gardner, J.E., Rutherford, M., Carey, S., Sigurdsson, H. (1995) Experimental constraints on pre-eruptive water contents and changing magma storage prior to explosive eruptions of Mount St Helens volcano. Bulletin of Volcanology 57 1-17",,850.0,2.5,51.990001678467,0.14000000059605,1.3400000333786,0.0099999997764826,25.360000610352,0.72000002861023,19.959999084473,1.1599999666214,0.029999999329448,1.9567440603034456,0.003964050092470119,0.05943930856468091,0.00029756921626509646,0.7982368736496153,0.022952644284029412,1.119915865132798,0.04677849392084243,0.002189171098927007,0.5838512452578138,0.04325593969655439,0.01618336886812652,0.5699516840556669,0.40624163348019066,0.02380668246414246,0.04325593969655439,100.71000140160422,4.010518036263073,CSPV,
G-16b,"Gardner, J.E., Rutherford, M., Carey, S., Sigurdsson, H. (1995) Experimental constraints on pre-eruptive water contents and changing magma storage prior to explosive eruptions of Mount St Helens volcano. Bulletin of Volcanology 57 1-17",,850.0,2.5,51.720001220703,0.15999999642372,0.99000000953674,0.029999999329448,26.639999389648,0.72000002861023,19.200000762939,1.1399999856949,0.0099999997764826,1.961448280100967,0.0045649414449730665,0.04424949108658054,0.0008995253308874554,0.8449302879086279,0.023127935525360348,1.085501099882524,0.04632306063548311,0.0007352966598449123,0.562310117182969,0.038551719899033055,0.005697771187547489,0.5491329996735359,0.42743310307516247,0.023433897251301586,0.038551719899033055,100.61000139266152,4.0117799185752485,CSPV,
85-41-6,"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Müntener, O., Gaetani, G.A. (2003) Fractional crystallization and mantle-melting controls on calc-alkaline differentiation trends. Contributions to Mineralogy and Petrology 145 515-533",,1125.0,0.00099999997473788,55.799999237061,0.20999999344349,0.95999997854233,0.15999999642372,11.699999809265,0.23999999463558,29.0,2.4000000953674,0.029999999329448,1.9737784337941646,0.00558830873261491,0.040021206467815436,0.004474638937501247,0.34611338463521485,0.007190539197923664,1.5292302898018189,0.09095980718525432,0.002057452036508815,0.8154400234191123,0.026221566205835378,0.013799640261980058,0.7777183451560262,0.17602236270753885,0.046259292136434815,0.026221566205835378,100.49999910406797,3.999414060788817,1-atm,
85-41-7,"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Müntener, O., Gaetani, G.A. (2003) Fractional crystallization and mantle-melting controls on calc-alkaline differentiation trends. Contributions to Mineralogy and Petrology 145 515-533",,1120.0,0.00099999997473788,55.299999237061,0.21999999880791,1.2699999809265,0.17000000178814,11.199999809265,0.21999999880791,29.39999961853,2.289999961853,0.019999999552965,1.9606163229088418,0.005867959000667336,0.053067172697166175,0.004765299844652181,0.33208850051267985,0.006606572219677989,1.5539087090581538,0.08699154206480592,0.0013748070258740583,0.8239188802467804,0.0393836770911582,0.013683495606007977,0.7875912661792615,0.16831748292400203,0.044091250896736496,0.0393836770911582,100.08999860659242,4.005286885332519,1-atm,
85-41-8B,"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Müntener, O., Gaetani, G.A. (2003) Fractional crystallization and mantle-melting controls on calc-alkaline differentiation trends. Contributions to Mineralogy and Petrology 145 515-533",,980.0,2.0000000298022997,55.400001525879,0.25,1.2799999713898,0.12999999523163,13.0,0.23000000417232,28.0,2.039999961853,0.029999999329448,1.9713377862905155,0.0066924969523145745,0.0536804288343594,0.003657366008735015,0.38686813099026923,0.006932105016938141,1.4853198615144463,0.07777777136873723,0.0020697447186169052,0.793360425053952,0.02866221370948452,0.025018215124874885,0.7617158665206387,0.19839739658904895,0.03988673689031229,0.02866221370948452,100.36000145785519,3.994335691694932,CSPV,
85-41-9,"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Müntener, O., Gaetani, G.A. (2003) Fractional crystallization and mantle-melting controls on calc-alkaline differentiation trends. Contributions to Mineralogy and Petrology 145 515-533",,940.0,2.0000000298022997,54.599998474121,0.23999999463558,1.4900000095367,0.070000000298023,15.0,0.28000000119209,27.200000762939,1.3300000429153,0.079999998211861,1.9603665212883354,0.006482653099109993,0.0630500832897461,0.0019870852815601393,0.45040607425984946,0.008515079350531413,1.4558755416569287,0.05116469236648516,0.005569021468707414,0.763725322376758,0.03963347871166456,0.023416604578081535,0.7437626950461662,0.23009881413036995,0.026138490823463794,0.03963347871166456,100.28999928384957,4.003416752061254,CSPV,
A1.2,"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Müntener, O., Gaetani, G.A. (2003) Fractional crystallization and mantle-melting controls on calc-alkaline differentiation trends. Contributions to Mineralogy and Petrology 145 515-533",,1300.0,15.0,54.299999237061,0.14000000059605,4.6900000572205,0.23999999463558,6.6999998092651,0.090000003576279,30.89999961853,2.1600000858307,0.10000000149012,1.899242153598706,0.0036838798612082633,0.1933339447363166,0.006636904484310933,0.1959853644959146,0.002666300313662425,1.611200836679175,0.08094841536470429,0.006781484791549533,0.891552201777283,0.10075784640129393,0.09257609833502267,0.8533294303093022,0.10379840652202993,0.042872163168667925,0.10075784640129393,99.31999880820533,4.0004792843255474,PC,
79-38b 5,"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982) Origin of Calc-Alkaline Series Lavas at Medicine Lake Volcano by Fractionation, Assimilation and Mixing. Contributions to Mineralogy and Petrology 80 160-182",,1137.0,0.0010132500028703,54.5,0.20000000298023,1.1399999856949,0.15000000596046,15.199999809265,0.33000001311302,26.299999237061,2.2799999713898,0.070000000298023,1.9674657764121017,0.005431722698430769,0.04850318715611991,0.00428130116264212,0.4589047998093123,0.010090452938254942,1.4153932090343095,0.08819005056663415,0.004899513904562459,0.7551591061591956,0.03253422358789826,0.015968963568221653,0.7212238577694312,0.2338382634273031,0.044937878803265684,0.03253422358789826,100.16999902576242,4.003160013682368,1-atm,
C279,"Grove, T.L., Holbig, E.S., Barr, J.A., Till, C.B., Krawczynski, M.J. (2013) Melts of garnet lherzolite: experiments, models and comparison to melts of pyroxenite and carbonated lherzolite. Contributions to Mineralogy and Petrology 166 887-910",,1420.0,22.0,54.0,0.09,6.2199997901917,0.93000000715256,5.3600001335144,0.15999999642372,31.39999961853,2.1900000572205,0.15999999642372,1.8603121654583685,0.002332552779017367,0.25254407462183254,0.02533079593891897,0.15442769887337146,0.0046687224773169665,1.6126213170884478,0.08083701311589703,0.01068701225813368,0.9126070089293391,0.13968783454163147,0.11285624008020106,0.8726844035361371,0.08356992609032637,0.04374567037353648,0.13968783454163147,100.50999959945659,4.0037613526113045,PC,
C283,"Grove, T.L., Holbig, E.S., Barr, J.A., Till, C.B., Krawczynski, M.J. (2013) Melts of garnet lherzolite: experiments, models and comparison to melts of pyroxenite and carbonated lherzolite. Contributions to Mineralogy and Petrology 166 887-910",,1410.0,22.0,53.6,0.12,7.210000038147,0.79000002145767,6.3600001335144,0.15999999642372,30.200000762939,2.1400001049042,0.15000000596046,1.8485125432052862,0.0031134060272770252,0.29305398141113564,0.021540636565719622,0.18343536583023928,0.004673729839465557,1.5526560267175555,0.07907614197776103,0.010029820409137483,0.8943400292071956,0.15148745679471376,0.14156652461642188,0.8553789097618392,0.10105698914353115,0.04356410109462968,0.15148745679471376,100.73000106334646,3.996091651983577,PC,
C272,"Grove, T.L., Holbig, E.S., Barr, J.A., Till, C.B., Krawczynski, M.J. (2013) Melts of garnet lherzolite: experiments, models and comparison to melts of pyroxenite and carbonated lherzolite. Contributions to Mineralogy and Petrology 166 887-910",,1440.0,24.0,54.1,0.11,6.6300001144409,0.72000002861023,6.289999961853,0.15999999642372,30.5,2.1800000667572,0.17000000178814,1.862250392380271,0.002848592969780617,0.2689732509562724,0.019595084523339485,0.1810755384955834,0.004664947945654162,1.565133315618845,0.08040283865189464,0.011345770737002379,0.896303619083747,0.1377496076197291,0.1312236433365433,0.8568505949113462,0.09913192782717407,0.04401747726147974,0.1377496076197291,100.86000016987319,3.996289732278643,PC,
C276,"Grove, T.L., Holbig, E.S., Barr, J.A., Till, C.B., Krawczynski, M.J. (2013) Melts of garnet lherzolite: experiments, models and comparison to melts of pyroxenite and carbonated lherzolite. Contributions to Mineralogy and Petrology 166 887-910",,1420.0,24.0,53.5,0.12,7.1900000572205,0.70999997854233,6.0999999046326,0.15999999642372,30.5,2.1099998950958,0.18999999761581,1.8460592451987514,0.003115085722468924,0.292398737639851,0.01936974959341158,0.1760313477544967,0.004676251335688922,1.56892570784464,0.07800965406443026,0.012711292616819756,0.8991199541618199,0.15394075480124858,0.13845798283860244,0.8606441903342212,0.09656311704506317,0.04279269262071557,0.15394075480124858,100.57999982953075,4.0012970717705585,PC,
C274,"Grove, T.L., Holbig, E.S., Barr, J.A., Till, C.B., Krawczynski, M.J. (2013) Melts of garnet lherzolite: experiments, models and comparison to melts of pyroxenite and carbonated lherzolite. Contributions to Mineralogy and Petrology 166 887-910",,1440.0,26.0,55.1,0.1,4.8600001335144,0.34999999403954,6.3200001716614,0.14000000059605,32.5,0.87999999523163,0.090000003576279,1.897366175372814,0.0025905767223870437,0.19723799690144098,0.009528870181636168,0.18200569549869247,0.004083321848223784,1.6683747311880501,0.032468056326546174,0.006008780646942764,0.9016387695882687,0.10263382462718607,0.09460417227425491,0.8860908066898737,0.09666507801382546,0.01724411529630078,0.10263382462718607,100.3400002986193,3.9996642046867334,PC,
137,"Grove, T.L., Juster, T.C. (1989) Experimental investigations of low-Ca pyroxene stability and olivine - pyroxene - liquid equilibria at 1-atm in natural basaltic and andesitic liquids. Contributions to Mineralogy and Petrology 103 287-305",,599.0,2.0700000226498,54.900001525879,0.37999999523163,0.38999998569488,0.0099999997764826,16.200000762939,0.33000001311302,26.89999961853,1.6699999570847,0.029999999329448,1.9745718742161074,0.010282082517268615,0.01653179183464893,0.0002843638585203786,0.4872860272953407,0.010053113063843431,1.4423263948239453,0.06435630715700219,0.00209202130672547,0.7474694805498006,0.01653179183464893,0.0,0.7233445407879783,0.24437997454062452,0.0322754846713972,0.01653179183464893,100.81000185757816,4.007783976073402,CSPV,
