CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,ROCK NAME,ROCK TEXTURE,LAND/SEA (SAMPLING),LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),SiO2,TiO2,Al2O3,Cr2O3,FeO_total,MnO,MgO,CaO,Na2O,K2O,FeO,Fe2O3,lat,lon
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.67,0.2017,3.9,0.0001,20.53,1.2606,20.23,0.5752,0.1124,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,51.79,0.1534,2.159,0.0001,19.03,1.3032,23.65,0.9278,0.0529,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,54.16,0.0963,0.603,0.0001,18.76,1.2891,24.32,0.6534,0.0314,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.83,0.202,1.4543,0.0013,20.47,0.7629,22.93,1.0044,0.0443,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.68,0.164,1.8721,0.0001,20.74,0.818,23.05,0.8961,0.0546,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.97,0.1888,1.4785,0.007,20.43,0.6772,23.33,1.0357,0.0454,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,53.45,0.1856,1.5234,0.0592,19.61,0.6332,23.77,1.0751,0.0478,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,53.11,0.1663,1.5242,0.006,20.21,0.7882,23.56,0.8426,0.0283,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.84,0.2258,1.5092,0.0036,20.21,0.7356,23.39,1.3595,0.0363,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.89,0.2275,2.1741,0.0057,19.4,0.5899,23.9,0.981,0.0781,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,53.01,0.2097,1.4695,0.0001,20.01,0.7034,23.54,1.1336,0.0611,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.67,0.2347,1.9348,0.0148,20.85,0.754,22.75,1.0828,0.033,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.08,0.202,1.846,0.0001,20.63,0.7754,22.77,1.0985,0.0267,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.59,0.1853,1.5313,0.0034,20.83,0.8593,22.88,0.9212,0.0513,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.58,0.1439,2.3759,0.0001,18.99,1.2622,23.47,0.7299,0.0107,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.79,0.2003,1.661,0.0001,20.78,1.1167,22.89,0.8696,0.0286,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.72,0.1865,1.2595,0.0001,20.59,0.9116,22.97,1.1069,0.0291,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.49,0.2293,1.9516,0.0207,20.56,0.8959,23.0,0.9594,0.0415,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,51.11,0.1632,2.6386,0.09,20.76,0.9954,22.4,0.8342,0.0177,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,53.11,0.1739,2.0392,0.0001,19.64,1.2074,24.2,0.6468,0.0316,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.2,0.1695,1.9819,0.0001,20.55,1.0897,22.47,1.1216,0.0545,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,49.83,0.406,4.22,0.0332,19.79,0.9368,20.91,3.2,0.755,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT08,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, LOKMATY DOME","ANDESITE, HORNBLENDE-PYROXENE",,subaerial,55.95191,55.95191,160.58227,160.58227,52.54,0.1826,2.0239,0.0044,20.65,1.0602,22.5,0.8274,0.0497,,,,55.95191,160.58227
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.92,0.1028,0.5155,0.0001,20.56,1.3602,23.42,0.6845,0.0039,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.11,0.0985,1.273,0.0001,21.56,1.1501,22.56,0.8478,0.01,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,51.53,0.0935,1.708,0.0001,23.15,1.2305,21.26,0.6662,0.0136,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.88,0.1742,1.1664,0.0001,20.11,1.1311,23.29,0.9272,0.016,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.23,0.1541,1.1247,0.0001,21.44,1.0239,23.12,0.7635,0.0144,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.7,0.0963,1.1037,0.0001,21.52,1.0391,22.66,0.9325,0.0195,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.76,0.1171,1.6836,0.0082,21.12,1.2428,22.88,0.6244,0.0001,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.6,0.0966,0.6798,0.0001,20.61,1.2476,23.72,0.6495,0.0001,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.0,0.0824,0.7651,0.0039,21.21,1.1897,22.96,0.8346,0.005,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.84,0.1083,0.6409,0.0051,20.02,1.3652,24.01,0.7322,0.0071,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.78,0.1007,0.6894,0.0084,21.76,1.2795,22.73,0.7158,0.0228,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.71,0.1538,1.2581,0.0001,20.24,1.2002,23.74,0.735,0.0001,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.09,0.0842,1.2444,0.0001,21.27,1.3097,22.77,0.645,0.0166,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.66,0.1262,1.3517,0.0001,20.3,1.1906,23.59,0.7316,0.017,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.35,0.1398,1.4845,0.0001,19.64,1.272,23.91,0.6704,0.0175,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.56,0.2326,1.7448,0.0001,19.07,0.5743,24.39,1.0364,0.0347,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.62,0.1272,1.1098,0.0129,21.29,1.0778,22.68,0.7958,0.0083,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.92,0.1787,1.3065,0.0001,20.9,0.9054,23.26,1.027,0.0001,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.51,0.0884,0.7941,0.0001,21.28,0.9208,22.75,0.9222,0.0072,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,51.66,0.0927,1.7854,0.0001,22.73,1.2906,21.66,0.6981,0.0331,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.54,0.1234,1.0764,0.0001,21.5,1.0652,22.96,0.8019,0.0216,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,54.09,0.1364,0.5778,0.0001,20.49,0.8035,23.43,0.9983,0.0105,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.9,0.13,1.3682,0.0001,21.69,1.1583,22.82,0.7301,0.0195,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.57,0.1524,1.3373,0.0001,20.07,1.2822,23.82,0.7225,0.0121,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,54.02,0.0731,0.5348,0.0281,20.09,1.3565,23.91,0.7253,0.0083,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.58,0.0924,1.92,0.0025,22.29,1.3626,21.78,0.6483,0.0118,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,51.97,0.0947,1.5949,0.0001,22.91,1.2234,21.59,0.6307,0.0164,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.28,0.1561,1.1746,0.0001,20.48,0.9457,23.23,0.9434,0.0326,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.78,0.1255,1.2889,0.0001,19.86,1.2646,23.63,0.6912,0.0033,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,53.11,0.1025,0.9326,0.0059,21.53,1.0076,22.57,0.945,0.0073,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT05,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 1956 ERUPTION, CRYPTODOME",ANDESITE,,subaerial,55.91839,55.91839,160.69406,160.69406,52.62,0.1365,1.0164,0.0001,21.35,1.0865,22.6,0.9405,0.0134,,,,55.91839,160.69406
[18976] KAYZAR T. M. (2014),samp. 06BZT02B,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 2006 ERUPTION",BASALTIC-ANDESITE,,subaerial,55.95022,55.95022,160.6253,160.6253,52.37,0.1878,1.9869,0.0092,20.99,0.9241,23.11,0.7387,0.0096,,,,55.95022,160.6253
[18976] KAYZAR T. M. (2014),samp. 06BZT02B,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 2006 ERUPTION",BASALTIC-ANDESITE,,subaerial,55.95022,55.95022,160.6253,160.6253,53.27,0.2872,2.5915,0.024,18.06,0.4522,24.6,1.53,0.0457,,,,55.95022,160.6253
[18976] KAYZAR T. M. (2014),samp. 06BZT02B,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 2006 ERUPTION",BASALTIC-ANDESITE,,subaerial,55.95022,55.95022,160.6253,160.6253,54.34,0.1853,0.7581,0.0001,17.74,0.5846,25.39,1.4636,0.0176,,,,55.95022,160.6253
[18976] KAYZAR T. M. (2014),samp. 06BZT02B,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 2006 ERUPTION",BASALTIC-ANDESITE,,subaerial,55.95022,55.95022,160.6253,160.6253,52.48,0.2009,2.023,0.0751,19.37,0.526,23.29,1.5186,0.0207,,,,55.95022,160.6253
[18976] KAYZAR T. M. (2014),samp. 06BZT02B,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 2006 ERUPTION",BASALTIC-ANDESITE,,subaerial,55.95022,55.95022,160.6253,160.6253,53.72,0.2468,1.2106,0.0001,18.37,0.5776,24.78,1.4761,0.0443,,,,55.95022,160.6253
[18976] KAYZAR T. M. (2014),samp. 06BZT02B,CONVERGENT MARGIN,KAMCHATKA ARC / KAMCHATKA ARC / CENTRAL KAMCHATKA SEGMENT / BEZYMIANNY,"CENTRAL KAMCHATKA DEPRESSION, 2006 ERUPTION",BASALTIC-ANDESITE,,subaerial,55.95022,55.95022,160.6253,160.6253,54.73,0.1794,0.724,0.0144,18.04,0.5679,24.79,1.5062,0.0331,,,,55.95022,160.6253
