CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,ROCK NAME,lat,lon,SiO2_Opx,TiO2_Opx,Al2O3_Opx,Cr2O3_Opx,FeO_total_Opx,MnO_Opx,MgO_Opx,CaO_Opx,Na2O_Opx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,Cr2O3_Cpx,FeO_total_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx
[14330] LUCASSEN F. (2005),samp. 7-168 B,INTRAPLATE VOLCANICS,ANDEAN BASINS / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO,"PERIDOTITE, XENOLITH",-25.93,-65.57,54.9984083333333,0.0690333333333333,5.00773333333333,0.50255,4.89801666666667,0.101733333333333,33.0217583333333,0.965375,0.136891666666667,52.5994466666667,0.213373333333333,6.64448666666667,0.962166666666667,2.56362,0.0682733333333333,15.8907333333333,18.60378,1.54444666666667
[14330] LUCASSEN F. (2005),samp. 7-169A,INTRAPLATE VOLCANICS,ANDEAN BASINS / ARGENTINA / QUEBRADA LAS CONCHAS / QUEBRADA LOS NACIMIENTOS,"PERIDOTITE, XENOLITH",-25.83,-65.63,55.1221979166667,0.182579166666667,3.50258333333333,0.712625,5.75490833333333,0.100791666666667,33.9862020833333,0.939216666666667,0.110183333333333,51.8450176470588,0.573294117647059,5.13160588235294,1.38903529411765,3.07668235294118,0.0482235294117647,16.7030529411765,19.7216411764706,1.28594705882353
[14330] LUCASSEN F. (2005),samp. A-101,INTRAPLATE VOLCANICS,ANDEAN BASINS / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO,"PERIDOTITE, XENOLITH",-25.93,-65.57,56.0454125,0.0908375,4.0539625,0.5169125,4.41455,0.097275,34.223375,0.7695625,0.1135625,53.3424454545455,0.360336363636364,5.88237272727273,1.15235454545455,1.92193636363636,0.0621181818181818,16.0660090909091,19.3827545454545,1.56593636363636
[14330] LUCASSEN F. (2005),samp. A-102,INTRAPLATE VOLCANICS,ANDEAN BASINS / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO,"PERIDOTITE, XENOLITH",-25.93,-65.57,55.34206,0.03352,4.95614,0.5755,5.90544,0.1396,32.5974,0.97142,0.16738,52.36190112781955,0.09445338345864665,5.189791729323305,1.23839135338346,3.01069248120301,0.08565864661654121,16.8595157894737,19.588880827067698,1.198546616541353
[14330] LUCASSEN F. (2005),samp. A-104,INTRAPLATE VOLCANICS,ANDEAN BASINS / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO,"PERIDOTITE, XENOLITH",-25.93,-65.57,56.31232,0.05264,4.30466,0.21937,5.90655,0.12067,33.3281,0.59419,0.10506,52.72494,0.32436,7.24673333333333,0.594046666666667,2.635,0.08602,14.5965666666667,19.49584,1.98747333333333
[14330] LUCASSEN F. (2005),samp. A-106,INTRAPLATE VOLCANICS,ANDEAN BASINS / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO,"PERIDOTITE, XENOLITH",-25.93,-65.57,56.732380952381,0.019,3.44361904761905,0.433619047619048,5.14652380952381,0.146571428571429,34.2009047619048,0.692238095238095,0.0596666666666667,53.8397692307692,0.0283846153846154,3.96146153846154,0.834384615384615,2.16507692307692,0.0916923076923077,16.8865384615385,21.5334615384615,0.838923076923077
[14330] LUCASSEN F. (2005),samp. A-94,INTRAPLATE VOLCANICS,ANDEAN BASINS / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO,"PERIDOTITE, XENOLITH",-25.93,-65.57,56.8925307692308,0.0297153846153846,2.93506153846154,0.4047,4.0644,0.0985307692307692,35.0696230769231,0.609646153846154,0.035,53.96,0.07,3.49,0.83,1.69,0.06,17.05,21.48,0.82
[14330] LUCASSEN F. (2005),samp. A-98D,INTRAPLATE VOLCANICS,ANDEAN BASINS / ARGENTINA / QUEBRADA LAS CONCHAS / CERRO AMARILLO,"PERIDOTITE, XENOLITH",-25.93,-65.57,54.8800333333333,0.275333333333333,3.47776666666667,0.613966666666667,5.81786666666667,0.1373,32.5816,0.984,0.148033333333333,52.2519285714286,0.782928571428571,5.35024285714286,1.56588571428571,3.17615714285714,0.0925142857142857,16.1933142857143,18.8120428571429,1.69444285714286
[14339] FEDELE L. (2007),samp. GFP59,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTIFERRO,BASALTIC-TRACHYANDESITE,40.5,8.5,53.12,0.275,2.625,0.065,18.735,0.295,23.810000000000002,1.185,0.11,51.019999999999996,1.315,2.6399999999999997,0.14500000000000002,9.09,0.2,14.735,20.009999999999998,0.435
[14339] FEDELE L. (2007),samp. GFP69,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTIFERRO,MUGEARITE,40.5,8.5,54.17,0.3,2.9,0.44999999999999996,12.61,0.18,27.17,1.72,0.13,50.26,1.4100000000000001,5.035,0.08499999999999999,8.850000000000001,0.16499999999999998,14.065000000000001,19.55,0.8049999999999999
[14357] PRESTVIK T. (2010),samp. AE12/06,RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / AFAR DEPRESSION / ASSAB VOLCANIC FIELD,"PYROXENITE, PLAGIOCLASE",12.95,42.43,54.6,0.107,3.78,0.594,9.23,0.2,30.4,1.16,0.09,51.7,0.359,5.11,1.02,4.64,0.133,15.6,20.5,0.914
[14357] PRESTVIK T. (2010),samp. AE13/06,RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / AFAR DEPRESSION / ASSAB VOLCANIC FIELD,"DUNITE, XENOLITH",12.95,42.43,55.9,0.0001,2.39,0.703,5.41,0.131,33.4,1.05,0.044,52.9,0.096,3.15,1.56,2.62,0.057,17.0,21.4,0.86
[14357] PRESTVIK T. (2010),samp. AE22/06,RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / AFAR DEPRESSION / ASSAB VOLCANIC FIELD,"PYROXENITE, PLAGIOCLASE",12.95,42.43,53.4,0.125,4.73,0.042,10.4,0.189,29.7,0.727,0.048,50.2,0.707,6.83,0.348,4.56,0.107,14.3,21.7,0.539
[14360] COMIN-CHIARAMONTI P. (1986),samp. PY3092,INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES / PARAGUAY_CENOZOIC / ASUNCION-SAPUCAI-VILLARICA IGNEOUS PROVINCE,"PERIDOTITE, SPINEL, XENOLITH",-25.4,-57.53,55.03,0.01,2.39,0.36,5.41,0.14,35.44,0.39,0.02,52.8,0.03,2.83,0.73,2.13,0.09,17.32,22.66,0.58
[14360] COMIN-CHIARAMONTI P. (1986),samp. SA23,INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES / BRAZIL / RIO GRANDE DO NORTE,"PERIDOTITE, SPINEL, XENOLITH",-5.51,-36.29,54.99,0.12,3.98,0.39,5.78,0.14,33.9,0.56,0.05,52.09,0.43,5.97,1.06,2.47,0.08,15.53,20.35,1.34
[14375] SU BEN-XUN (2009),samp. HT-04,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / GANSU PROVINCE / HAOTI CINDER CONE,"LHERZOLITE, SPINEL, XENOLITH",33.9511,104.8694,55.4,0.13,4.44,0.45,6.07,0.09,32.7,0.52,0.09,51.9,0.44,6.33,0.99,2.46,0.04,14.8,20.4,1.84
[14375] SU BEN-XUN (2009),samp. HT-24,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / GANSU PROVINCE / HAOTI CINDER CONE,"LHERZOLITE, SPINEL, XENOLITH",33.9511,104.8694,55.0,0.32,3.61,0.5,6.59,0.07,31.9,0.81,0.16,52.3,0.6,5.49,1.16,3.42,0.08,15.7,18.9,1.79
[14375] SU BEN-XUN (2009),samp. HT-25,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / GANSU PROVINCE / HAOTI CINDER CONE,"LHERZOLITE, SPINEL, XENOLITH",33.9511,104.8694,55.5,0.195,3.33,0.665,5.56,0.13,32.849999999999994,0.755,0.10500000000000001,53.4,0.455,2.1149999999999998,2.6500000000000004,2.66,0.065,16.9,19.549999999999997,1.505
[14441] XIAO YAN (2010),samp. CLB05-03,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,56.7,0.08,3.04,0.54,6.63,0.15,32.7,0.75,0.1,53.8,0.2,3.6,0.96,2.89,0.1,16.5,20.4,1.34
[14441] XIAO YAN (2010),samp. CLB05-13,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,55.9,0.02,4.25,0.37,6.14,0.09,32.7,0.62,0.12,53.2,0.38,6.05,0.9,2.27,0.12,15.0,20.3,1.96
[14441] XIAO YAN (2010),samp. CLB05-22,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,54.5,0.01,3.57,0.47,8.88,0.3,30.7,0.75,0.11,51.7,0.66,6.33,1.21,4.06,0.18,14.6,19.4,1.99
[14441] XIAO YAN (2010),samp. CLB05-23,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,55.5,0.12,3.89,0.49,7.73,0.11,31.8,0.87,0.08,52.8,0.43,5.45,1.27,3.59,0.13,15.1,20.2,1.36
[14441] XIAO YAN (2010),samp. CLB05-24,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,56.1,0.07,2.22,0.4,5.83,0.17,34.2,0.5,0.02,53.6,0.04,2.77,1.02,2.17,0.05,16.5,22.7,1.07
[14441] XIAO YAN (2010),samp. CLB05-25,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,54.5,0.08,4.32,0.27,7.81,0.17,31.2,0.64,0.12,52.3,0.45,6.75,0.68,3.4,0.07,14.6,19.0,2.05
[14441] XIAO YAN (2010),samp. CLB05-29,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,56.8,0.08,2.81,0.31,6.365,0.16,33.5,0.37,0.03,52.4,0.49,5.14,0.9,2.51,0.11,15.4,22.3,1.17
[14441] XIAO YAN (2010),samp. CLB05-30,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,54.7,0.13,4.52,0.3,7.85,0.12,31.3,0.69,0.07,52.0,0.56,6.84,0.71,4.0,0.01,14.8,19.5,1.82
[14441] XIAO YAN (2010),samp. CLB05-31,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,55.6,0.03,3.43,0.5,5.75,0.13,33.5,0.65,0.06,53.0,0.17,4.51,1.11,2.34,0.11,15.9,21.3,1.4
[14441] XIAO YAN (2010),samp. CLB05-32,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,54.5,0.02,3.43,0.41,5.92,0.15,33.8,0.42,0.02,51.9,0.11,4.18,1.06,2.35,0.09,16.3,22.2,0.9
[14441] XIAO YAN (2010),samp. CLB05-34,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,55.0,0.04,3.08,0.46,5.76,0.18,34.0,0.41,0.09,52.6,0.17,4.1,1.16,2.11,0.06,15.5,22.1,1.57
[14441] XIAO YAN (2010),samp. CLB05-47,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,54.25,0.075,4.615,0.355,6.74,0.135,32.150000000000006,0.6950000000000001,0.10500000000000001,51.3,0.55,6.93,0.83,2.98,0.06,14.9,19.8,1.88
[14441] XIAO YAN (2010),samp. CLB05-50,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,55.05,0.11,3.87,0.325,6.655,0.13,32.45,0.5,0.08,51.2,0.73,6.865,0.8300000000000001,2.495,0.06,14.25,21.1,1.755
[14441] XIAO YAN (2010),samp. CLB05-51,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,55.400000000000006,0.16999999999999998,3.7750000000000004,0.37,6.825,0.175,33.1,0.28500000000000003,0.055,52.3,0.74,6.26,0.79,2.69,0.12,14.6,21.1,1.84
[14441] XIAO YAN (2010),samp. CLB05-53,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,55.8,0.09,3.88,0.37,6.85,0.2,32.7,0.44,0.07,51.1,0.91,6.34,0.52,3.36,0.06,14.1,22.1,1.36
[14441] XIAO YAN (2010),samp. CLB05-55,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / SHANDONG PROVINCE / CHANGLE VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",36.59,118.81,55.1,0.16999999999999998,3.705,0.315,6.805,0.16499999999999998,32.4,0.42500000000000004,0.055,52.2,0.58,6.41,0.8,2.66,0.12,14.4,21.1,1.77
[14442] MATUSIAK-MALEK M. (2010),samp. 1,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,55.72,0.03,3.66,0.46,5.73,0.12,33.93,0.67,0.06,52.57,0.16,3.97,0.88,2.54,0.08,16.88,21.91,0.79
[14442] MATUSIAK-MALEK M. (2010),samp. 10,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,56.15,0.08,2.98,0.48,5.91,0.16,33.89,0.67,0.03,52.48,0.12,4.6,0.73,2.6,0.07,16.64,21.87,0.85
[14442] MATUSIAK-MALEK M. (2010),samp. 11,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,57.24,0.02,2.5,0.5,5.56,0.13,35.3,0.4,0.0001,53.07,0.25,3.53,0.88,2.68,0.09,17.01,22.62,0.71
[14442] MATUSIAK-MALEK M. (2010),samp. 12,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,57.88,0.01,1.63,0.29,5.41,0.14,35.62,0.32,0.02,53.19,0.28,3.51,0.89,2.67,0.12,17.03,22.51,0.73
[14442] MATUSIAK-MALEK M. (2010),samp. 13,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,55.61,0.04,4.12,0.44,5.56,0.13,33.81,0.76,0.06,52.92,0.27,3.54,0.85,2.7,0.09,16.9,22.6,0.71
[14442] MATUSIAK-MALEK M. (2010),samp. 2,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,55.59,0.03,3.95,0.44,6.3,0.17,33.81,0.65,0.02,52.7,0.16,3.99,0.85,2.5,0.09,16.76,21.86,0.77
[14442] MATUSIAK-MALEK M. (2010),samp. 3,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,57.15,0.0001,1.71,0.36,5.63,0.18,34.9,0.42,0.01,52.7,0.17,3.99,0.89,2.57,0.07,16.81,22.02,0.78
[14442] MATUSIAK-MALEK M. (2010),samp. 4,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,56.1,0.03,3.72,0.48,5.81,0.13,34.01,0.64,0.03,54.22,0.02,2.45,1.01,2.29,0.08,16.88,22.42,0.95
[14442] MATUSIAK-MALEK M. (2010),samp. 5,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,56.59,0.04,2.7,0.34,5.77,0.14,34.83,0.45,0.03,52.81,0.09,3.81,0.76,2.47,0.08,16.75,22.47,0.68
[14442] MATUSIAK-MALEK M. (2010),samp. 7,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,55.57,0.01,3.69,0.49,5.74,0.12,33.81,0.64,0.03,53.52,0.11,2.88,0.55,2.29,0.08,17.11,23.33,0.51
[14442] MATUSIAK-MALEK M. (2010),samp. 9,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / POLAND / BOHEMIAN MASSIF / LADEK-LUTYNIA ERUPTIVE CENTER,"PERIDOTITE, SPINEL, XENOLITH",50.3597,16.9117,55.87,0.09,3.03,0.5,5.96,0.15,33.82,0.68,0.02,52.99,0.06,4.12,0.74,2.55,0.05,16.73,22.2,0.75
[14443] YAXLEY G. M. (1991),samp. 71008,INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - MOUNT LEURA,"LHERZOLITE, XENOLITH",-38.2333,143.15,56.7,0.02,1.445,0.475,7.234999999999999,0.175,32.75,0.7949999999999999,0.12,54.16,0.135,2.96,1.505,2.795,0.06,16.495,20.14,1.41
[14466] ZHAO XIN-MIAO (2010),samp. DA11,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT,"LHERZOLITE, SPINEL, XENOLITH",40.8,114.5,54.99,0.08,4.01,0.38,6.05,0.2,33.31,0.37,0.08,51.7,0.46,6.6,0.91,2.51,0.1,14.58,21.35,1.91
[14466] ZHAO XIN-MIAO (2010),samp. DA14,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT,"LHERZOLITE, SPINEL, XENOLITH",40.8,114.5,55.72,0.04,3.83,0.46,5.76,0.14,33.3,0.78,0.09,52.55,0.3,5.05,1.06,2.47,0.05,15.97,21.14,1.34
[14466] ZHAO XIN-MIAO (2010),samp. DA15,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT,"LHERZOLITE, SPINEL, XENOLITH",40.8,114.5,55.1,0.15,4.34,0.32,6.68,0.19,32.74,0.53,0.04,51.84,0.59,6.63,0.83,2.56,0.11,14.24,21.17,2.06
[14466] ZHAO XIN-MIAO (2010),samp. DA6,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT,"LHERZOLITE, SPINEL, XENOLITH",40.8,114.5,55.6,0.1,3.28,0.5,5.73,0.14,33.61,0.71,0.1,52.77,0.17,4.19,1.14,2.28,0.06,16.3,21.96,1.09
[14466] ZHAO XIN-MIAO (2010),samp. DA7,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT,"LHERZOLITE, SPINEL, XENOLITH",40.8,114.5,55.25,0.14,4.39,0.49,5.97,0.16,33.2,0.72,0.09,52.41,0.42,5.95,1.0,2.47,0.05,15.74,20.84,1.47
[14466] ZHAO XIN-MIAO (2010),samp. DA8,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT,"LHERZOLITE, SPINEL, XENOLITH",40.8,114.5,55.08,0.12,4.05,0.49,6.13,0.18,32.54,0.71,0.11,51.95,0.43,5.89,1.16,2.89,0.04,15.59,20.32,1.7
[14466] ZHAO XIN-MIAO (2010),samp. DA9,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HEBEI PROVINCE / HANNUOBA BASALT,"LHERZOLITE, SPINEL, XENOLITH",40.8,114.5,54.37,0.16,4.78,0.39,6.1,0.09,32.57,0.78,0.1,51.22,0.47,6.5,0.82,2.74,0.18,15.63,20.47,1.57
[14466] ZHAO XIN-MIAO (2010),samp. HB01,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",35.9,114.2,56.03,0.0001,3.22,0.82,4.76,0.16,33.95,0.96,0.06,52.97,0.0,3.27,1.16,2.27,0.11,17.76,21.93,0.53
[14466] ZHAO XIN-MIAO (2010),samp. HB04,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"LHERZOLITE, PHLOGOPITE-SPINEL, XENOLITH",35.9,114.2,55.28,0.21,3.57,0.4,5.61,0.15,33.4,0.78,0.17,52.23,0.75,3.73,1.4,3.07,0.13,17.39,19.05,1.49
[14490] NEDLI Z. (2010),samp. BE41,INTRAPLATE VOLCANICS,CARPATHIAN BELT AND PANNONIAN BASIN / SOUTHERN PANNONIAN-EASTERN CARPATHIAN (TISZA-DACIA / VILLANY MOUNTAINS,"LHERZOLITE, SPINEL, XENOLITH",45.79,18.43,57.010000000000005,0.08,2.2699999999999996,0.22999999999999998,6.445,0.23,34.254999999999995,0.415,0.21500000000000002,53.805,0.23,1.85,0.32,2.2199999999999998,0.08499999999999999,17.325,24.46,0.125
[14523] SAMANIEGO P. (2010),samp. PICH 53E,CONVERGENT MARGIN,ANDEAN ARC / NORTHERN ANDEAN VOLCANIC ZONE / ECUADOR / PICHINCHA,ANDESITE,-0.17,-78.6,54.66,0.14,1.85,0.15000000000000002,13.620000000000001,0.265,27.68,1.4649999999999999,0.032,50.77,0.58,3.66,0.26,8.81,0.17,14.67,20.38,0.36
[14534] XIA PING (2006),samp. YM01-25,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / YUNNAN PROVINCE,"PERIDOTITE, SPINEL, XENOLITH",23.03,104.4,56.21,0.07,2.06,0.62,5.59,0.14,34.25,0.67,0.02,53.32,0.13,2.46,1.01,2.04,0.07,17.52,23.02,0.54
[14534] XIA PING (2006),samp. YM01-28,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / YUNNAN PROVINCE,"PERIDOTITE, SPINEL, XENOLITH",23.03,104.4,55.36,0.13,4.39,0.43,6.52,0.14,32.84,0.67,0.11,52.08,0.61,6.72,0.89,2.87,0.08,15.16,20.61,1.87
[14534] XIA PING (2006),samp. YM01-3,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / YUNNAN PROVINCE,"PERIDOTITE, SPINEL, XENOLITH",23.03,104.4,54.5,0.09,5.28,0.78,6.34,0.14,32.23,1.04,0.13,51.77,0.36,6.65,1.23,3.29,0.1,15.9,19.58,1.64
